,Algorithm,Accuracy,F1,AUC
0,GA,0.2272017837235228,0.0847388745019396,0.5
1,Optuna,0.8396506874767744,0.87544790113909,0.9869816171260588
2,GA,0.878610182088443,0.8911458259176633,0.5
3,GA,0.8786399108138238,0.0849620775829862,0.5
4,GA,0.8240393905611297,0.0848772564712403,0.9881066699001272
5,GA,0.2272129319955407,0.6304969614416681,0.9907220072085274
6,GA,0.8953140096618357,0.8893894535998307,0.5
7,GA,0.8786250464511335,0.0848825834349716,0.5
8,GA,0.903106651802304,0.0849620775829862,0.9898677947556044
9,GA,0.2272054998141954,0.0848979669260603,0.5
10,GA,0.8117614269788183,0.9010195757690336,0.5
11,GA,0.8897584541062802,0.8919880610937415,0.5
12,GA,0.9042549238201412,0.8374157683249166,0.9849993358982486
13,GA,0.227209215904868,0.0848522173313139,0.9895234396138192
14,GA,0.2272017837235228,0.0848262627367514,0.9788131100853406
15,Optuna,0.8852879970271275,0.8723857616703299,0.9848813509493828
16,Optuna,0.8875287997027127,0.862611622154852,0.9884972932737232
17,Optuna,0.8875585284280936,0.8177867775767979,0.9884952212712124
18,Optuna,0.8753028613898178,0.8777404434423444,0.9871560002836416
19,Optuna,0.8385135637309551,0.8701198878357191,0.9842618511635112
20,Optuna,0.8819397993311037,0.8853440419393181,0.9873154066793192
21,Optuna,0.8630211817168338,0.8804976419944347,0.9881709618520808
22,Optuna,0.8964437012263099,0.084876289686073,0.9884895332003288
23,Optuna,0.8919732441471572,0.8634685545936301,0.986601597556335
24,Optuna,0.8853437383872166,0.8867752786419101,0.9872072635243124
25,Optuna,0.8641694537346711,0.8811144662226805,0.984156539822381
26,Optuna,0.8764065403195839,0.645700884267995,0.9895245309818592
27,Optuna,0.8819658119658119,0.8844001594002519,0.986656137208143
28,Optuna,0.8663656633221851,0.8879278274361025,0.9890215456856076
29,Optuna,0.8485581568190264,0.8765446851490224,0.9901558151150224
30,Optuna,0.8730583426235601,0.8708052517637271,0.9871517411477908
31,Optuna,0.8808249721293199,0.878203041249459,0.9882488086534807
32,Optuna,0.8719360832404311,0.8853909218009474,0.9882478481660156
33,Optuna,0.8674730583426236,0.8856945923291762,0.9881532645510998
34,Optuna,0.8853288740245261,0.8766199970951649,0.9868388110109784
35,Optuna,0.8841731698253437,0.8756763172689954,0.9884060969102976
36,Optuna,0.876395392047566,0.8471940712136771,0.9897921889453252
37,Optuna,0.8786361947231512,0.8774918390604282,0.987794273070176
38,Optuna,0.8574619100706058,0.884065389821373,0.987910847551124
39,Optuna,0.8775065031586772,0.8683058788542892,0.9887606030160077
40,Optuna,0.8764288368636195,0.8646927778188042,0.9862419140912174
41,Optuna,0.8774581939799332,0.8773496201280976,0.9877050174838767
