,Algorithm,Accuracy,F1,AUC
0,GA,0.8828811980667824,0.8979711814178933,0.9346119018632184
1,GA,0.887299876056999,0.8987581186113482,0.9362130494996472
2,GA,0.8839959516842314,0.8967136820530436,0.934032194967075
3,GA,0.8850777027274793,0.895743636330833,0.9362949765357976
4,GA,0.8828885319721604,0.8988370643712632,0.9353764221432472
5,GA,0.8839776169207866,0.8986315850101366,0.935916567070265
6,GA,0.8828885319721604,0.8967594402286965,0.9345504306551272
7,GA,0.8850923705382353,0.8963458306833987,0.9355722074160612
8,GA,0.8817591105439558,0.8962619522672511,0.9347011321186828
9,GA,0.8895000476703849,0.8969142663421841,0.9339595542202864
10,GA,0.8839996186369204,0.8949033756515782,0.9346107695788762
11,GA,0.8828848650194715,0.8955247980773415,0.933982690323235
12,GA,0.8850373662479006,0.8958712319634268,0.9357167564202564
13,GA,0.8839739499680975,0.8974518836826731,0.9346059405918616
14,GA,0.8839959516842314,0.8995310103002411,0.93470389258616
15,GA,0.8850740357747905,0.8965345505794843,0.9342852912172548
16,GA,0.8850777027274795,0.8945746012306764,0.934775522098865
17,GA,0.8850373662479006,0.8971854492412961,0.9339461462359656
18,GA,0.8839886177788534,0.8980261921867051,0.9347348578946324
19,GA,0.8817811122600897,0.8955491537188154,0.933636962518704
20,GA,0.8828921989248495,0.8969306512597904,0.9341644937718264
21,GA,0.8828665302560266,0.8952486733116672,0.9366348207663174
22,GA,0.8862107911083731,0.8959192679818813,0.9343618888303256
23,GA,0.8839812838734754,0.8973274652568505,0.9345672368280784
24,GA,0.8839849508261645,0.8968143539728364,0.9340860770547734
25,GA,0.8861484529126605,0.897284492215499,0.9333102829538357
