,Algorithm,Accuracy,F1,AUC
0,GA,0.6093924513060016,0.0863512890190071,0.8910307742202775
1,GA,0.2297804007371759,0.5932866198921859,0.8980313662826157
2,GA,0.2297779478449706,0.6526271112814719,0.7696042443902855
3,GA,0.2297804007371758,0.0866058244520323,0.5
4,GA,0.6276877566338469,0.0862897666113225,0.5
5,GA,0.2297779478449706,0.0865309982821996,0.8639860897561985
6,GA,0.6631933713041046,0.0867029273208589,0.8961879830109037
7,GA,0.6261187232532546,0.6528945922550914,0.8941723874434898
8,GA,0.2297804007371758,0.0864498122728731,0.5
9,GA,0.5932025451209522,0.0868045366048794,0.8931361748048756
10,GA,0.2297779478449706,0.6551986625291825,0.5
11,GA,0.4804152910029549,0.6587246095025976,0.7633866780006509
12,Optuna,0.5968900597361015,0.606661944428564,0.8898758136770558
13,Optuna,0.5362905401759214,0.6478849218315372,0.8905312153694401
14,Optuna,0.6318691202129765,0.64481097862059,0.8828196023494482
