,Algorithm,Accuracy,F1,AUC
0,GA,0.2297795831064407,0.0865656832279801,0.9003446754276517
1,GA,0.6140938280326332,0.0864194566943421,0.8796569350612894
2,GA,0.6610765253310178,0.0864369763554684,0.8820910042295441
3,GA,0.229782853629381,0.666545629473183,0.8919309836405601
4,GA,0.6658065191333767,0.6276707666243557,0.8878978795211793
5,GA,0.2297795831064407,0.6473197839165868,0.7859860396331536
6,GA,0.5650040963299826,0.6775054209950543,0.8735513506768903
7,GA,0.6188050163280858,0.6224804697936425,0.8939511515529853
8,GA,0.2297787654757057,0.5398817056465912,0.8762018827570927
9,GA,0.2297779478449706,0.0864959491339903,0.8807247778052446
10,GA,0.2297804007371758,0.0864995383990358,0.5
11,GA,0.2297787654757057,0.5686535803457818,0.5
12,GA,0.2297787654757057,0.674984145830089,0.5
13,GA,0.2297779478449706,0.086519028060331,0.8960559285931132
14,GA,0.5791049559869376,0.6509304001752054,0.8948714611332197
15,GA,0.6657999780874962,0.6672797106933964,0.8932711169654194
16,GA,0.6600585750658602,0.6338138087670185,0.8769771690520929
17,GA,0.2297795831064407,0.0865301864179293,0.7968833981426711
18,GA,0.4250804957458673,0.0864031653796568,0.8545523306312814
19,GA,0.2297836712601161,0.0863891577975483,0.8438168767502324
20,GA,0.22978040073717587,0.08647366279327255,0.8809732204606355
