iter	Logloss
0	0.5553105561
1	0.4813273575
2	0.4565725909
3	0.4305006242
4	0.4194157452
5	0.396843007366	0.386498774277	0.377856241388	0.360194060999	0.3502513431110	0.3499032534111	0.3477979376112	0.3418707395113	0.3416406113114	0.338673832
15	0.3239275072
16	0.3208313181717	0.3121657511818	0.3122332221919	0.3092445012020	0.3018560022121	0.3013383002222	0.297298242
23	0.2864362065
24	0.2812035954
25	0.2736531479
26	0.2662560416
27	0.2627006511
28	0.2567462841
29	0.2497479061
30	0.2415176619
31	0.2286936582
32	0.221170505
33	0.2140467031
34	0.2092061748
35	0.2025605011
36	0.1963692182
37	0.191023529
38	0.1894332379
39	0.1843142783
40	0.180065953
41	0.1744641712
42	0.1701328236
43	0.1630611275
44	0.1594265829
45	0.1550449305
46	0.1507300579
47	0.1467010985
48	0.1440681542
49	0.1384869267
50	0.1361739855
51	0.1326289089
52	0.1274772994
53	0.1239531896
54	0.120234643
55	0.1177719242
56	0.115459138
57	0.1138800104
58	0.1140094027
59	0.1141392923
60	0.1109633407
61	0.1110943076
62	0.1090550541
63	0.1078520488
64	0.1049455763
65	0.1009915272
66	0.09869143522
67	0.09553793067
68	0.09463914476
69	0.0915397668
70	0.0893079909
71	0.08641911389
72	0.08300248883
73	0.08050748489
74	0.07703159051
75	0.07477025774
76	0.07348003443
77	0.07072549639
78	0.06901617852
79	0.06693581509
80	0.06483810392
81	0.06345723069
82	0.0621700178
83	0.06168717048
84	0.0603555413
85	0.05929488712
057639
05
