,Algorithm,Accuracy,F1,AUC
0,GA,0.2272017837235228,0.0847388745019396,0.5
2,GA,0.878610182088443,0.8911458259176633,0.5
3,GA,0.8786399108138238,0.0849620775829862,0.5
4,GA,0.8240393905611297,0.0848772564712403,0.9881066699001272
5,GA,0.2272129319955407,0.6304969614416681,0.9907220072085274
6,GA,0.8953140096618357,0.8893894535998307,0.5
7,GA,0.8786250464511335,0.0848825834349716,0.5
8,GA,0.903106651802304,0.0849620775829862,0.9898677947556044
9,GA,0.2272054998141954,0.0848979669260603,0.5
10,GA,0.8117614269788183,0.9010195757690336,0.5
11,GA,0.8897584541062802,0.8919880610937415,0.5
12,GA,0.9042549238201412,0.8374157683249166,0.9849993358982486
13,GA,0.227209215904868,0.0848522173313139,0.9895234396138192
14,GA,0.2272017837235228,0.0848262627367514,0.9788131100853406
15,GA,0.227209215904868,0.0851077657758824,0.9911357642980118
16,GA,0.2272017837235228,0.8626103802394037,0.5
17,GA,0.8630286138981792,0.0850724959133447,0.9884247154945182
18,GA,0.8808547008547009,0.871795691986009,0.5
19,GA,0.2272017837235228,0.084914679053492,0.9900898573487668
20,GA,0.2272017837235228,0.0848979669260603,0.9910570087775068
21,GA,0.2272017837235228,0.0852295158286933,0.9836417348676696
22,GA,0.8719583797844668,0.084886020592245,0.9910322339608076
23,GA,0.8964585655890004,0.8838492720996888,0.5
24,GA,0.2271943515421776,0.8662115830910008,0.5
25,GA,0.2271980676328502,0.0853566060347932,0.9907265936000944
26,GA,0.8853140096618356,0.084876289686073,0.9907421780878172
27,GA,0.2272203641768858,0.0848563188190059,0.9915980248747934
28,GA,0.227209215904868,0.084970059384851,0.5
29,GA,0.8786473429951691,0.8947557516730514,0.9892145545596974
30,GA,0.8919918246005202,0.8959086441012172,0.5
