,Algorithm,Accuracy,F1,AUC
0,PSO,0.8696915644741732,0.8563971226087523,0.9879293244277604
1,Optuna,0.8986547751765143,0.8970998598104484,0.9914682381344374
2,Optuna,0.8998067632850241,0.8958720906733069,0.9912630261043384
3,Optuna,0.9020104050538832,0.8983270334226061,0.9922580892540346
4,PSO,0.8173504273504273,0.8846984828138841,0.9904108782007898
5,PSO,0.8563024897807506,0.8776698185831059,0.9894830771642282
6,PSO,0.8418914901523596,0.8079375166809966,0.988555360204674
7,PSO,0.8753140096618357,0.8864568066322139,0.989658267287982
8,PSO,0.841898922333705,0.8364505406141786,0.9871980153087226
9,PSO,0.8496469713861018,0.8126256373812283,0.988007579761356
10,PSO,0.8452173913043478,0.8599690790196797,0.9869431673407972
11,PSO,0.8842363433667781,0.8371578051839981,0.9878832478593116
12,PSO,0.8619026384243775,0.8705457179480797,0.9884289735906692
13,PSO,0.874132292827945,0.8294716697246654,0.9877258583979964
14,PSO,0.8719509476031214,0.882502919657763,0.9866925153632125
15,PSO,0.8797138610182088,0.8667268468962722,0.9858122574928736
16,PSO,0.8875139353400222,0.854364850291106,0.9881277469198092
