,Algorithm,Accuracy,F1,AUC
0,GA,0.8873035430096881,0.8997236881338128,0.9377764009794479
1,Optuna,0.8850960374909244,0.8996585080236589,0.9382707951935486
2,GA,0.8883816271002472,0.8988075213358125,0.9367828400106714
3,Optuna,0.888392627958314,0.898134577237172,0.9369369691373094
4,GA,0.888410962721759,0.8971946028494365,0.9400409741664486
5,Optuna,0.8850960374909244,0.9003624877425048,0.9379453093787028
6,GA,0.8851107053016802,0.8969706199967411,0.9377510303983692
7,Optuna,0.8851107053016802,0.8987355414595779,0.9386472359950268
8,GA,0.8861887893922393,0.8985090401307524,0.9402801323701668
9,Optuna,0.8883742931948692,0.8975045006617828,0.9405085869349721
10,GA,0.8883596253841133,0.9011350675803751,0.9370298094922992
11,Optuna,0.8850740357747905,0.8970849679927878,0.9413570075201637
12,GA,0.8861851224395503,0.8935026606921289,0.9380571827104394
13,Optuna,0.8872925421516212,0.8965726655738138,0.9389953627427529
14,GA,0.888410962721759,0.8997564108242173,0.9379008386240538
15,Optuna,0.8906111343351449,0.8993969455997713,0.9377042288682703
16,GA,0.887321877773133,0.8948538358312286,0.9386882548862164
17,Optuna,0.8850777027274793,0.8974702271782456,0.9380135510748128
18,GA,0.888396294911003,0.9001222184218429,0.9375427246592838
19,Optuna,0.8850593679640345,0.8975420837048199,0.9376993562411852
20,GA,0.8906331360512788,0.8999414659856123,0.9386071071297648
21,Optuna,0.8861741215814832,0.8971233772298496,0.9391459066370579
22,GA,0.8872815412935542,0.8983050661216506,0.9366344612999985
