,Algorithm,Accuracy,F1,AUC
0,GA,0.6093924513060016,0.0863512890190071,0.8910307742202775
1,GA,0.2297804007371759,0.5932866198921859,0.8980313662826157
2,GA,0.2297779478449706,0.6526271112814719,0.7696042443902855
3,GA,0.2297804007371758,0.0866058244520323,0.5
4,GA,0.6276877566338469,0.0862897666113225,0.5
5,GA,0.2297779478449706,0.0865309982821996,0.8639860897561985
6,GA,0.6631933713041046,0.0867029273208589,0.8961879830109037
7,GA,0.6261187232532546,0.6528945922550914,0.8941723874434898
8,GA,0.2297804007371758,0.0864498122728731,0.5
9,GA,0.5932025451209522,0.0868045366048794,0.8931361748048756
10,GA,0.2297779478449706,0.6551986625291825,0.5
11,GA,0.4804152910029549,0.6587246095025976,0.7633866780006509
12,Optuna,0.5968900597361015,0.606661944428564,0.8898758136770558
13,Optuna,0.5362905401759214,0.6478849218315372,0.8905312153694401
14,Optuna,0.6318691202129765,0.64481097862059,0.8828196023494482
15,Optuna,0.6402065008184484,0.6226117107158745,0.885406047937041
16,Optuna,0.6532812339028949,0.656175630791388,0.8804007003869415
17,Optuna,0.5138343120373232,0.645034999950994,0.8895336904774731
18,Optuna,0.631320489989747,0.6455402328887067,0.8913093015213183
19,Optuna,0.6637182902360172,0.6404776808737287,0.890197949325593
20,Optuna,0.6292453431841485,0.5867769634095009,0.8693869989494787
21,Optuna,0.6522134081628982,0.6589434661729493,0.8740735025430779
22,Optuna,0.6584805477471821,0.5556168585796898,0.8842392871070549
23,Optuna,0.6511840110674497,0.6500248734647316,0.8881932418780174
24,Optuna,0.6062666490058428,0.6366982938472469,0.8780112541574617
25,Optuna,0.621923459951629,0.5551379230461534,0.8882546425489504
26,Optuna,0.6323596986540163,0.5225920290321552,0.8738613682549086
27,Optuna,0.6167004348160249,0.6375430595788258,0.8565227233475792
28,Optuna,0.6584969003618834,0.6542141974854455,0.8891106869513653
29,Optuna,0.6506550039818617,0.5806613155956126,0.8774749943113055
30,Optuna,0.6438572220505198,0.5602678511609737,0.876634295135558
31,Optuna,0.6344503804435812,0.652296769043556,0.8814913411215665
32,Optuna,0.6433462028411033,0.6383128131646502,0.8826419891216929
33,Optuna,0.6449119656987554,0.4803433293899752,0.8773758720918327
34,Optuna,0.6537726299746698,0.6427011913742325,0.8661912660003824
35,Optuna,0.6308184647184162,0.5790248413791307,0.8858484088238767
36,Optuna,0.5749399450225093,0.6697727881132028,0.8872337621116791
37,Optuna,0.6396774937328605,0.6357113351450004,0.8811355562906439
38,Optuna,0.229782853629381,0.6359125871019045,0.890724822876782
39,Optuna,0.5540453915878879,0.5696349262434519,0.8817978378286625
40,Optuna,0.5775440989136958,0.6548307227267925,0.8932992543376196
41,Optuna,0.6360251372393189,0.5926356252012585,0.8908406931822427
42,Optuna,0.5655420973536563,0.6415175706003479,0.8885300464175231
43,Optuna,0.6015603664948007,0.5588980722668505,0.8914818008695787
44,Optuna,0.6522371194542151,0.6123243010574818,0.8835907546393996
45,Optuna,0.6590381719084973,0.5136776859301082,0.8877680607536446
46,Optuna,0.608879796835115,0.6403786778722637,0.8967261633252859
47,Optuna,0.6511831934367146,0.6676449881359879,0.8729930646103052
48,Optuna,0.66892496275692,0.6494748402408166,0.8700951695949132
