,Algorithm,Accuracy,F1,AUC
63,GA,0.6093924513060016,0.0863512890190071,0.8910307742202775
64,GA,0.2297804007371759,0.5932866198921859,0.8980313662826157
65,GA,0.2297779478449706,0.6526271112814719,0.7696042443902855
66,GA,0.2297804007371758,0.0866058244520323,0.5
67,GA,0.6276877566338469,0.0862897666113225,0.5
68,GA,0.2297779478449706,0.0865309982821996,0.8639860897561985
69,GA,0.6631933713041046,0.0867029273208589,0.8961879830109037
70,GA,0.6261187232532546,0.6528945922550914,0.8941723874434898
71,GA,0.2297804007371758,0.0864498122728731,0.5
72,GA,0.5932025451209522,0.0868045366048794,0.8931361748048756
73,GA,0.2297779478449706,0.6551986625291825,0.5
74,GA,0.4804152910029549,0.6587246095025976,0.7633866780006509
112,GA,0.5812070846067933,0.0864283949944078,0.8717036087925996
113,GA,0.6349941048824,0.6567788909104864,0.8982447538772357
114,GA,0.2297795831064407,0.0864630187104802,0.8262361254330597
115,GA,0.6094169802280535,0.5854361709636335,0.5
116,GA,0.2297795831064407,0.0865456681785704,0.872287453290741
117,GA,0.229782035998646,0.0863456072655407,0.5
118,GA,0.6631737481664631,0.0863468879742616,0.5
119,GA,0.5775571810054569,0.0863672355496425,0.5
120,GA,0.6621541626398353,0.0864235325708917,0.8902422096759048
121,GA,0.2297779478449706,0.086519028060331,0.9002781928084985
122,GA,0.6626709052643973,0.0863929880595825,0.5
123,GA,0.2297795831064407,0.0863489686136983,0.9018388833408344
124,GA,0.6125223417598358,0.551336196867016,0.5
125,GA,0.6025954870053947,0.6446928263453992,0.89833523304375
126,GA,0.6255921690598718,0.0863689701598907,0.8912638859720028
127,GA,0.2297779478449706,0.0864498122728731,0.5
128,GA,0.229782035998646,0.0863861356419985,0.8767427339285109
129,GA,0.2297804007371758,0.3615237265402907,0.8841918322535728
