,Algorithm,Accuracy,F1,AUC
39,PSO,0.7128031161542575,0.6828716835509175,0.9203079452001092
40,PSO,0.6302886400020931,0.6236760061652146,0.8870432850060558
41,PSO,0.6757251975804671,0.683115802439981,0.9014376212526178
42,PSO,0.61984340736162,0.684525892108486,0.8987099004128242
43,PSO,0.6819866137496055,0.6597422024496714,0.9018447082193743
44,PSO,0.6778256909388527,0.6033764813606691,0.9028220028717326
45,PSO,0.6866724554922709,0.7647124663851138,0.9025903169716653
46,PSO,0.7196025333470696,0.650647972680341,0.875698643089203
47,PSO,0.6777929857094501,0.7172000297692617,0.8924037205153152
48,PSO,0.6678947480307365,0.6294226397565276,0.904435917680492
49,PSO,0.6741586170920799,0.7292651843180282,0.8810784679303937
50,PSO,0.7065098123864515,0.6568192914063183,0.9170727620050432
51,PSO,0.7577057608626331,0.7067592120421263,0.8731286113220128
52,PSO,0.6939877976789098,0.6396670713108682,0.9177955066048146
53,PSO,0.7566624640446884,0.6947551407723491,0.8944899639013567
54,PSO,0.6861614362828545,0.6551059087941519,0.9053139080619091
57,PSO,0.7702351342467905,0.6626897352972203,0.9128617815252256
58,PSO,0.7044273069042375,0.715622291030409,0.8763340641502987
59,PSO,0.6020779267500976,0.7011391020654903,0.925988850974472
60,PSO,0.6156620437824906,0.6894205054195556,0.894930900606879
61,PSO,0.6715356576939869,0.6771426451538786,0.910605626019267
62,PSO,0.6825082621585778,0.7217239662511279,0.9181565053489574
63,PSO,0.6809441345623958,0.639535850935745,0.9313745184488385
64,PSO,0.5665739473413102,0.7046437439376948,0.8985483229709348
65,PSO,0.6443862291361077,0.647409484750054,0.8769429087504782
66,PSO,0.7451861990472967,0.6650219971421399,0.8805935485365408
67,PSO,0.6908530014406654,0.6924617524373696,0.878016383212687
68,PSO,0.7718131615654685,0.6047071414605861,0.8905811282526942
69,PSO,0.6516966655383363,0.6110899060811533,0.8932329494457173
70,PSO,0.6652685181097032,0.6808716123116962,0.8955274831281074
