,Algorithm,Accuracy,F1,AUC
44,Random Search,0.8975882571534745,0.9050234574070868,0.992227389533397
45,Random Search,0.8841917502787068,0.8979765370861609,0.9926902670893618
46,Random Search,0.8930917874396135,0.8889964815740417,0.9912185429729128
47,Random Search,0.8930806391675956,0.8880915525870053,0.9921162091372868
48,Random Search,0.9042363433667782,0.8883054090214005,0.9917283569418448
49,Random Search,0.8975659606094388,0.9004647318076943,0.9913457746448376
50,Random Search,0.8997770345596433,0.8962221544158694,0.991061381058394
51,Random Search,0.8986622073578595,0.8945223511813509,0.9912625614855868
52,Random Search,0.8875250836120401,0.8935270805153497,0.991269309228992
53,Random Search,0.8841880341880342,0.90147440026236,0.9902890212176008
54,Random Search,0.8897584541062802,0.8948417167081598,0.9912783305669112
55,Random Search,0.8942251950947603,0.8940041805651555,0.99248021591732
56,Random Search,0.8975585284280937,0.8970946650175798,0.9920809131217287
57,Random Search,0.8953251579338536,0.889317948272503,0.9909136485565524
58,Random Search,0.8908695652173914,0.8957800042202537,0.9922287614743088
59,Random Search,0.8964474173169825,0.8932706179812276,0.9913784129719976
60,Random Search,0.8975399479747305,0.8936531897740531,0.9923084086139414
61,Random Search,0.9008955778520996,0.9020246350878526,0.9911033223047292
62,Random Search,0.8975399479747305,0.896807936802046,0.9916048815104466
63,Random Search,0.8953177257525083,0.8948830153167261,0.99186236009459
64,Random Search,0.8942140468227424,0.8983203304390522,0.991549744402318
65,Random Search,0.9031400966183574,0.9029170097963636,0.9909785257325904
66,Random Search,0.8975548123374212,0.8954858686762684,0.9914888915467684
67,Random Search,0.8998030471943516,0.893589911630717,0.9912772894606928
68,Random Search,0.8964251207729469,0.8894824487775163,0.9915315507564244
69,Random Search,0.8930732069862505,0.8981044919070368,0.9913551838550574
70,Random Search,0.9042400594574508,0.9016477901258588,0.9912965935674416
71,Random Search,0.9142512077294686,0.8903034661852361,0.9913144925821644
72,Random Search,0.8975436640654032,0.8984575603999653,0.9913097293243894
73,Random Search,0.8953251579338536,0.879486036727719,0.9907087193687076
