,Algorithm,Accuracy,F1,AUC
0,PSO,0.8298313935153608,0.8862439253296642,0.9175540526263108
1,GA,0.8872852082462432,0.8987888138096896,0.9405510443075537
2,Optuna,0.8872888751989322,0.8979645211950112,0.9430585260755768
3,PSO,0.8519577860406445,0.8659595699547432,0.9289476345045466
4,GA,0.886229125871818,0.8994709401426889,0.9385823162029808
5,Optuna,0.8850593679640345,0.8967801565733561,0.9365135669725632
6,PSO,0.8563617962201051,0.838705863554544,0.9269890886363386
7,GA,0.8895147154811408,0.8990961385873599,0.9376074983195228
8,Optuna,0.8839996186369204,0.8974290050415803,0.9399087440509234
9,PSO,0.8419800077739397,0.8859035525445442,0.9131596460111152
10,GA,0.8806700255953297,0.9005750103699303,0.9381291973828644
11,Optuna,0.891685551473015,0.8971230158730159,0.939106975250191
12,PSO,0.8364759117877861,0.8544209523666665,0.917836797485904
13,GA,0.8850740357747905,0.8995314556549219,0.9383457278139176
14,Optuna,0.8850887035855464,0.8979635234430251,0.9374647529224396
15,PSO,0.8696214971434438,0.8682977869510378,0.9295243031619586
16,GA,0.8861814554868613,0.8904020941593197,0.9387174435902904
17,Optuna,0.8861741215814832,0.8961273829920318,0.9388504412073908
18,PSO,0.847520773286983,0.8678811102923114,0.9226545746742912
19,PSO,0.8464353552910461,0.8696945202763501,0.924737589433961
20,PSO,0.8674103246719911,0.8833813765580101,0.9234860748616858
21,GA,0.8917148870945267,0.8994780522376349,0.9382187242541192
22,Optuna,0.8850740357747905,0.8957420066237166,0.9386811303731069
23,PSO,0.8630283162086644,0.8802366608768102,0.9159595513726854
24,GA,0.8883999618636921,0.9001058529126436,0.9364211775968144
25,Optuna,0.8850887035855464,0.8954659424442238,0.9406507222898948
26,PSO,0.8530212023204476,0.8691736430784109,0.9098416167668364
27,GA,0.8861924563449283,0.8986074555419828,0.9372604129162072
28,Optuna,0.8872852082462432,0.8963416680955966,0.9409416629101504
29,PSO,0.8685324121948179,0.8744037666663486,0.9179984690292412
30,GA,0.8872888751989322,0.8974877175293097,0.936557884479712
31,Optuna,0.8873072099623771,0.8959822706823758,0.937009806896978
32,PSO,0.8386944181646169,0.8743359952545596,0.9247961770396912
33,GA,0.8883596253841133,0.8980512719901995,0.9383628155238972
34,Optuna,0.8906111343351449,0.900119648473829,0.9383168698869638
35,PSO,0.8364539100716523,0.8801359334167819,0.9265564616879252
36,GA,0.8861961232976171,0.9001551842774317,0.9374275829456842
37,Optuna,0.8861924563449283,0.897303325315268,0.9374145241038766
38,PSO,0.868517744384062,0.859903319448259,0.9169078667393088
39,PSO,0.858554633928113,0.8655239005652838,0.9259700756953696
40,GA,0.88840729576907,0.9009385278044416,0.940366455254986
41,Optuna,0.886225458919129,0.8964626889545751,0.9383169450053728
42,PSO,0.8464133535749122,0.8754391841352867,0.9166529697504392
43,GA,0.8839922847315423,0.9009702584297428,0.9366144649245756
44,Optuna,0.888399961863692,0.8985369190971202,0.9391551026554176
45,PSO,0.8442095150088375,0.8752263114925961,0.9162303796587734
46,GA,0.8883999618636921,0.8996950049298361,0.93866646520781
47,Optuna,0.8872705404354874,0.8965712496048432,0.938933857683272
48,PSO,0.8618842269697037,0.8763163204312786,0.926146632373944
49,GA,0.8862181250137512,0.9018348605099192,0.9379307162029162
50,PSO,0.8663029049599204,0.8732585353342778,0.9074536121127624
51,GA,0.8861924563449283,0.8996419437340153,0.9356791185378028
52,Optuna,0.8861851224395503,0.9004479473132568,0.9386834583325762
53,PSO,0.8607768072576327,0.877574370709382,0.9196422184413364
54,GA,0.8851217061597471,0.8987459994349707,0.938305601390232
55,Optuna,0.8894817129069401,0.8964504304546678,0.9388704665711606
56,PSO,0.85638013098355,0.8652931714712594,0.9187179017853252
57,GA,0.8895000476703849,0.901597149563218,0.9372617739934525
58,Optuna,0.8872888751989322,0.8964468051649986,0.9385482684430334
59,PSO,0.8563287936459044,0.8645259793826847,0.9101076270342472
60,GA,0.88622179196644,0.9026909705025852,0.939489594016493
61,PSO,0.825434717241278,0.8659527840621578,0.9243070266875764
62,GA,0.8872925421516212,0.9002493990351282,0.9358540904520222
63,Optuna,0.8839776169207866,0.9004871802681205,0.9383378101129553
64,PSO,0.866332240581432,0.8785154645899954,0.904199477047975
65,GA,0.8895000476703849,0.8991184047953498,0.9363907929980076
66,Optuna,0.8850630349167234,0.8980551855203114,0.938999712749928
67,PSO,0.8607878081156998,0.8756754391308337,0.9218725333655048
68,GA,0.8872962091043101,0.9017768407303292,0.9404579173864208
69,Optuna,0.8905891326190108,0.8986992138711337,0.9385047824816676
70,PSO,0.8485988573775421,0.8728472991263688,0.9313988027176252
71,GA,0.8895220493865188,0.8977217180692952,0.9385157422039332
72,Optuna,0.888396294911003,0.8986168766272926,0.938070395988078
73,PSO,0.8651698165790265,0.8818305017395071,0.9202496516274516
74,GA,0.8861851224395503,0.9024992420877416,0.9393831558092276
75,Optuna,0.8850850366328573,0.8996130154799689,0.9381493207959932
76,PSO,0.8795589389305699,0.875694579456557,0.919764263049653
77,GA,0.88840729576907,0.8984122113477024,0.932485703179323
78,PSO,0.8243126297184514,0.8623220638960675,0.9261311255839916
79,PSO,0.8552800451768571,0.8951413730246838,0.9149000198253368
80,PSO,0.8320535668448805,0.8742399138753152,0.9232891959073712
81,PSO,0.8563544623147271,0.8819289692665073,0.9230671718263688
82,PSO,0.8409092575887586,0.8803885756777211,0.9203901080991383
83,PSO,0.8651844843897823,0.871464165436126,0.9229683735676772
84,PSO,0.8287129729452231,0.8773702577957897,0.902895923218042
85,PSO,0.8563251266932154,0.8719468080648155,0.9275904926253479
