,Algorithm,Accuracy,F1,AUC
25,GA,0.8156577921026683,0.8117074184777281,0.950957056019454
26,GA,0.8083588025307306,0.8004997061036607,0.9503533218944668
27,GA,0.8057415665477832,0.8105590533609209,0.9480310298253696
28,GA,0.816182711034581,0.8123634687987741,0.9498011021777812
29,GA,0.8146349360531002,0.8020977945833611,0.9497956650569278
30,GA,0.8078289778144075,0.8071792581318241,0.9442102300331424
31,GA,0.8026149466168894,0.8128548485336156,0.9565517727841116
32,GA,0.8161867991882562,0.78565734161027,0.9570130150836456
33,GA,0.8073089646669054,0.8037876484696103,0.9500805001711456
34,GA,0.8093906525183844,0.8000100979007742,0.9527677834182828
35,GA,0.8250719923862225,0.8065034227988638,0.9540681129970534
36,GA,0.813056908734422,0.804063984865253,0.9489898379905464
37,GA,0.8187925883409127,0.8080245939284284,0.954770558340427
38,GA,0.8020900276849767,0.8127896230050614,0.9513797179828116
55,GA,0.8062738441563114,0.8004519113062586,0.9143382911273936
56,GA,0.8114886929845649,0.8027142091156692,0.9522528790247596
71,GA,0.792178707914502,0.8027542969228868,0.9492286901409156
72,GA,0.8047031755142489,0.8054018310355383,0.950487550406824
73,GA,0.7932269105168571,0.8007841861557233,0.9544283993225804
74,GA,0.8104355845977992,0.8020103329742775,0.9507270117667724
75,GA,0.8078322483373479,0.779291235647519,0.9553261927330564
76,GA,0.8073155057127859,0.8014220036539288,0.9524384210422372
77,GA,0.8114968692919154,0.8030989325839135,0.9517630944160712
78,GA,0.8140969350294266,0.8061177105211682,0.951746912568326
79,GA,0.8135752866204542,0.7992991106099828,0.9539195092680878
80,GA,0.8146136776539885,0.8051443975976721,0.9553197963384068
81,GA,0.808363708315141,0.8078928766314992,0.9523325699635812
82,GA,0.8046990873605736,0.806928977050564,0.9515249905529196
83,GA,0.8088698217401471,0.8067345938980349,0.9565107495940572
84,GA,0.8130642674110377,0.8019563309385335,0.9527265563190808
