,Algorithm,Accuracy,F1,AUC
39,Random Search,0.755104877494387,0.7060663946502196,0.9274658736387812
40,Random Search,0.7848666362508032,0.7222654515821433,0.933266197601094
41,Random Search,0.7519586344258515,0.7602803398453076,0.9274107824337552
42,Random Search,0.7775561998485747,0.7525779826793934,0.931341106299256
43,Random Search,0.7686767300657539,0.7843160185941248,0.9328308403795788
44,Random Search,0.7728499173375326,0.7710089513139443,0.931435892434406
45,Random Search,0.7535317559601192,0.7587246305921882,0.9402776328031996
46,Random Search,0.7550967011870363,0.7638427313764571,0.9215803593938018
47,Random Search,0.7305506088896084,0.7557997807717038,0.9339764872113964
48,Random Search,0.7566591935217483,0.723298218483027,0.9261573954828476
49,Random Search,0.7723241807748851,0.7426548523265022,0.9355115448701392
50,Random Search,0.792165625822741,0.7366399345102131,0.9244426055885469
51,Random Search,0.7822469473756506,0.7493968957302078,0.9234882648913209
52,Random Search,0.7446571919617088,0.7493461575384953,0.9371308860579478
53,Random Search,0.7347205256384469,0.7402880598985137,0.9271673172556372
54,Random Search,0.7545587001633626,0.7578669268607506,0.9279778503290294
55,Random Search,0.7482915605790788,0.7646841958153816,0.9286305833157984
56,Random Search,0.7300289604806359,0.7535975818505082,0.924331122997709
57,Random Search,0.7608372865779374,0.7451568584640329,0.917695896970962
58,Random Search,0.7859148388531585,0.763117374387967,0.9156223469987724
59,Random Search,0.7754475301828386,0.760545355713421,0.915592165268998
60,Random Search,0.7420309620406754,0.7465990994835564,0.9317881334248896
61,Random Search,0.7488189324031967,0.7684065938514202,0.9249456566938836
62,Random Search,0.7843278175963945,0.7441334575187032,0.92793966046661
63,Random Search,0.7284607447307788,0.751615365869441,0.9358318874411052
64,Random Search,0.7629385975670581,0.7683021927809213,0.933284426790307
65,Random Search,0.7253218603388589,0.7599907921399177,0.9335639479359752
66,Random Search,0.757716390062189,0.7539866676189698,0.9350916243264068
67,Random Search,0.744119190938035,0.7671693877618915,0.9341879868987408
68,Random Search,0.7070641660248266,0.7344787639907482,0.9250816875544818
