,Algorithm,Accuracy,F1,AUC
0,PSO,0.8596989966555184,0.855730880516718,0.989724546224774
1,Optuna,0.89867707172055,0.9015638311367288,0.9922493082236684
2,Optuna,0.8997993311036789,0.9010838842023242,0.9925399069244092
3,Optuna,0.9031512448903752,0.8922243617754395,0.9920647648323672
4,Optuna,0.9042326272761056,0.8990469927832924,0.9926098023579863
5,Optuna,0.8975473801560758,0.8980884029800823,0.992138905601401
6,Optuna,0.902002972872538,0.8990507531138433,0.9911957105650876
7,Optuna,0.9019918246005202,0.8936495889179564,0.992345850835158
8,Optuna,0.8997547380156076,0.8986622606636575,0.99190063256917
9,Optuna,0.9020215533259012,0.9014908634367164,0.9925872564404936
10,Optuna,0.9008918617614268,0.8965363352044022,0.9917663574908012
11,Optuna,0.9042103307320698,0.8966509081364297,0.9920416233185876
12,Optuna,0.898658491267187,0.8964604361138577,0.991808841452872
13,Optuna,0.9020327015979188,0.8999718866754524,0.9918844752951438
14,Optuna,0.9031326644370122,0.9011862011103092,0.9914615562896908
15,Optuna,0.9064585655890004,0.8995469851946801,0.9923337258284995
16,Optuna,0.8997398736529171,0.8988758689712465,0.9917571205157394
17,Optuna,0.8953214418431809,0.9009576188997834,0.9921902458189988
18,Optuna,0.8998030471943516,0.8936965211555159,0.9924139512917785
19,Optuna,0.901984392419175,0.8987425681944118,0.9919825766116368
20,Optuna,0.8986659234485321,0.8966902249216909,0.991588544952933
21,Optuna,0.9064697138610182,0.9009682978988942,0.9919635167058698
22,Optuna,0.8986696395392048,0.8961211142659721,0.9922423551948892
23,GA,0.9142512077294686,0.9112756087752866,0.993817508000058
24,GA,0.9076068376068376,0.9104247403909864,0.994326952611857
25,GA,0.9031215161649944,0.9124624510107492,0.9932895188774687
26,GA,0.910891861761427,0.9139548511432436,0.9936514833771252
27,GA,0.917584541062802,0.9155136608533728,0.9937949226781404
28,GA,0.9098104793756968,0.9159708066434938,0.9934504652193232
29,GA,0.9153623188405796,0.918782785966128,0.9937326083977492
30,GA,0.910932738758826,0.9024680427296876,0.9934888407720044
31,GA,0.8942289111854329,0.9128188322877652,0.9934445533332378
32,GA,0.914236343366778,0.9151703962365452,0.9942796564839824
33,GA,0.9020178372352284,0.9008070005004788,0.9936645988115714
34,GA,0.907565960609439,0.9092643051038828,0.9932675781357172
35,GA,0.9109141583054626,0.9139247618741294,0.9932227105835398
36,GA,0.9153957636566332,0.9124873694642672,0.9940561944171922
37,GA,0.9120364176885914,0.9138996656972068,0.9934809412878104
38,GA,0.9097807506503158,0.9093376902989556,0.9935029792913204
39,GA,0.9164697138610182,0.9124245243965058,0.9935367420847822
40,GA,0.9120178372352288,0.9193209385963328,0.9929856594052796
41,GA,0.9131326644370122,0.9120988499810484,0.9933217797974692
42,GA,0.9142326272761055,0.91183508859744,0.9940917722644124
43,PSO,0.7494425863991081,0.8764223680621291,0.9893618505364796
44,Random Search,0.8975882571534745,0.9050234574070868,0.992227389533397
45,Random Search,0.8841917502787068,0.8979765370861609,0.9926902670893618
46,Random Search,0.8930917874396135,0.8889964815740417,0.9912185429729128
47,Random Search,0.8930806391675956,0.8880915525870053,0.9921162091372868
48,Random Search,0.9042363433667782,0.8883054090214005,0.9917283569418448
49,Random Search,0.8975659606094388,0.9004647318076943,0.9913457746448376
50,Random Search,0.8997770345596433,0.8962221544158694,0.991061381058394
51,Random Search,0.8986622073578595,0.8945223511813509,0.9912625614855868
52,Random Search,0.8875250836120401,0.8935270805153497,0.991269309228992
53,Random Search,0.8841880341880342,0.90147440026236,0.9902890212176008
54,Random Search,0.8897584541062802,0.8948417167081598,0.9912783305669112
55,Random Search,0.8942251950947603,0.8940041805651555,0.99248021591732
56,Random Search,0.8975585284280937,0.8970946650175798,0.9920809131217287
57,Random Search,0.8953251579338536,0.889317948272503,0.9909136485565524
58,Random Search,0.8908695652173914,0.8957800042202537,0.9922287614743088
59,Random Search,0.8964474173169825,0.8932706179812276,0.9913784129719976
60,Random Search,0.8975399479747305,0.8936531897740531,0.9923084086139414
61,Random Search,0.9008955778520996,0.9020246350878526,0.9911033223047292
62,Random Search,0.8975399479747305,0.896807936802046,0.9916048815104466
63,Random Search,0.8953177257525083,0.8948830153167261,0.99186236009459
64,Random Search,0.8942140468227424,0.8983203304390522,0.991549744402318
65,Random Search,0.9031400966183574,0.9029170097963636,0.9909785257325904
66,Random Search,0.8975548123374212,0.8954858686762684,0.9914888915467684
67,Random Search,0.8998030471943516,0.893589911630717,0.9912772894606928
68,Random Search,0.8964251207729469,0.8894824487775163,0.9915315507564244
69,Random Search,0.8930732069862505,0.8981044919070368,0.9913551838550574
70,Random Search,0.9042400594574508,0.9016477901258588,0.9912965935674416
71,Random Search,0.9142512077294686,0.8903034661852361,0.9913144925821644
72,Random Search,0.8975436640654032,0.8984575603999653,0.9913097293243894
73,Random Search,0.8953251579338536,0.879486036727719,0.9907087193687077
