,Algorithm,Accuracy,F1,AUC
62,Random Search,0.80396878483835,0.7145764156203825,0.9851513853200172
63,Random Search,0.7928651059085842,0.840626583571196,0.9499165997711048
64,Random Search,0.8218877740616871,0.6731548872323293,0.9652278702143868
65,Random Search,0.8641471571906355,0.7761578937048107,0.9481709208290436
66,Random Search,0.8240579710144927,0.7834052817549195,0.9625512565509644
67,Random Search,0.8218246005202526,0.811017337142656,0.9821931269223594
68,Random Search,0.8752731326644371,0.7161034459339483,0.97103550202354
69,Random Search,0.727172054998142,0.7239951845745626,0.9661039456996944
70,Random Search,0.7439947974730584,0.6483839389315628,0.9841550905876262
71,Random Search,0.7984503901895207,0.6725580432781316,0.9834878470370736
72,Random Search,0.7583723522853957,0.7993529118376997,0.9409719374643872
73,Random Search,0.7517056856187292,0.7714606301239969,0.9678223647113926
74,Random Search,0.7683537718320327,0.8267874411370265,0.9140750839668816
75,Random Search,0.8006280193236716,0.8081041032710208,0.9828406941196683
76,Random Search,0.7761761426978819,0.5238857411054315,0.9771854206739502
77,Random Search,0.7049535488665923,0.8187423277292103,0.9728836821997232
78,Random Search,0.7160349312523225,0.8462316440132459,0.9798367010883074
79,Random Search,0.8518877740616871,0.834243949058722,0.987368793449812
80,Random Search,0.8452136752136753,0.8292418071754483,0.9830387422868666
81,Random Search,0.7839873652917131,0.7472236685403355,0.9867718014959956
82,Random Search,0.842943143812709,0.8232231231972248,0.977190049239819
83,Random Search,0.7405314009661835,0.8296106397948443,0.9605245803012812
84,Random Search,0.7115719063545151,0.8192281061894544,0.9694399120045512
85,Random Search,0.8518952062430323,0.7794176494004486,0.9651483442649236
86,Random Search,0.7996395392047565,0.7042677175492079,0.925563806605295
87,Random Search,0.793028613898179,0.7295575266730522,0.9556560098275704
88,Random Search,0.7582571534745449,0.7120023381821786,0.9884732989834824
89,Random Search,0.8328874024526197,0.8318222386047173,0.984812584033216
90,Random Search,0.7205128205128205,0.715973176702235,0.948381680134907
91,Random Search,0.7427238944630249,0.8476800715353229,0.952593958542909
