,Algorithm,Accuracy,F1,AUC
61,Random Search,0.878455186171188,0.8884619829107804,0.9306206857088124
62,Random Search,0.880637023021129,0.8870310756288093,0.9306788187930788
63,Random Search,0.8773514334118061,0.8932729761748767,0.9317550246912468
64,Random Search,0.878455186171188,0.8921804235423391,0.9309631575843982
65,Random Search,0.8873035430096881,0.8944009954919055,0.9311689584635484
66,Random Search,0.8817737783547117,0.8920814358314356,0.9323999039187496
67,Random Search,0.878466187029255,0.8969111340074521,0.9327545124777584
68,Random Search,0.87737343512794,0.8952863556578726,0.9277094446708478
69,Random Search,0.878462520076566,0.8965073388150312,0.9274839505489224
70,Random Search,0.8784295175023652,0.8891557975768821,0.928372112814968
71,Random Search,0.8851070383489912,0.8949395508231345,0.9297149824127092
72,Random Search,0.8817664444493337,0.890728809728807,0.9311759454382326
73,Random Search,0.8806883603587746,0.8941155428925301,0.930707432714045
74,Random Search,0.8773697681752509,0.8907287531480265,0.9324093877619128
75,Random Search,0.8817591105439558,0.8935984619411674,0.9270842710663876
76,Random Search,0.8795662728359478,0.8929562495890924,0.9290775209616982
77,Random Search,0.8795186024509912,0.8904212151350771,0.929660807283186
78,Random Search,0.8817627774966447,0.8896169673947453,0.9291568243073696
79,Random Search,0.8817627774966447,0.8942574226819398,0.9299074687467596
80,Random Search,0.8806736925480187,0.8943497332268556,0.931893329580636
81,Random Search,0.8773514334118061,0.8972762067372405,0.9314243551011562
82,Random Search,0.8806516908318849,0.8931508993124777,0.9303816439792266
83,Random Search,0.8806810264533967,0.8958418310073649,0.929025824223474
84,Random Search,0.881729774922444,0.8919598759500421,0.9257288959760612
85,Random Search,0.8839886177788534,0.8935937266239607,0.9316673942910336
86,Random Search,0.8784405183604321,0.8935335992004286,0.9320687589185768
87,Random Search,0.878458853123877,0.8927662698782154,0.9298762158653026
88,Random Search,0.8762183450309124,0.8863856260992705,0.9309809500295598
89,Random Search,0.8828958658775385,0.8959154224460346,0.93005298476344
90,Random Search,0.8806810264533967,0.8855442535214685,0.9280372483721891
