,Algorithm,Accuracy,F1,AUC
0,GA,0.5812070846067933,0.0864283949944078,0.8717036087925996
1,GA,0.6349941048824,0.6567788909104864,0.8982447538772357
2,GA,0.2297795831064407,0.0864630187104802,0.8262361254330597
3,GA,0.6094169802280535,0.5854361709636335,0.5
4,GA,0.2297795831064407,0.0865456681785704,0.872287453290741
5,GA,0.229782035998646,0.0863456072655407,0.5
6,GA,0.6631737481664631,0.0863468879742616,0.5
7,GA,0.5775571810054569,0.0863672355496425,0.5
8,GA,0.6621541626398353,0.0864235325708917,0.8902422096759048
9,GA,0.2297779478449706,0.086519028060331,0.9002781928084985
10,GA,0.6626709052643973,0.0863929880595825,0.5
11,GA,0.2297795831064407,0.0863489686136983,0.9018388833408344
12,GA,0.6125223417598358,0.551336196867016,0.5
13,GA,0.6025954870053947,0.6446928263453992,0.89833523304375
14,GA,0.6255921690598718,0.0863689701598907,0.8912638859720028
15,GA,0.2297779478449706,0.0864498122728731,0.5
16,GA,0.229782035998646,0.0863861356419985,0.8767427339285109
17,GA,0.2297804007371758,0.3615237265402907,0.8841918322535728
18,GA,0.3759784995821907,0.6602398392257954,0.8823802213466797
19,GA,0.6245415135653115,0.6438027887513574,0.8899581776745921
20,GA,0.6668285575522098,0.0865528881261347,0.5
21,Optuna,0.6626733581566024,0.654442060443062,0.8912563406187926
22,Optuna,0.22978040073717587,0.5546403986110763,0.8902045652515591
