,Dataset,Amostras,metrica,U1,Pvalue,U2,magnitude,estimate
0,Heart,GA_OPTUNA,F1,667.0,0.0013703325610487,233.0,large,0.7411111111111112
1,Heart,GA_OPTUNA,Accuracy,602.5,0.0245832958295875,297.5,medium,0.6694444444444444
2,Heart,GA_OPTUNA,AUC,646.0,0.0038480679835514,254.0,medium,0.7177777777777777
3,Heart,GA_PSO,F1,900.0,3.019859359162157e-11,0.0,large,1.0
4,Heart,GA_PSO,Accuracy,806.0,1.4657342855122825e-07,94.0,large,0.8955555555555555
5,Heart,GA_PSO,AUC,609.0,0.0191107289174037,291.0,medium,0.6766666666666666
6,Heart,GA_Random Search,F1,836.0,1.2023264598302062e-08,64.0,large,0.9288888888888888
7,Heart,GA_Random Search,Accuracy,816.5,6.211481494974285e-08,83.5,large,0.9072222222222224
8,Heart,GA_Random Search,AUC,899.0,3.3383888204287995e-11,1.0,large,0.9988888888888888
9,Heart,OPTUNA_Random Search,F1,769.0,2.491311449611175e-06,131.0,large,0.8544444444444445
10,Heart,OPTUNA_Random Search,Accuracy,788.5,5.795813695342622e-07,111.5,large,0.8761111111111111
11,Heart,OPTUNA_Random Search,AUC,890.0,8.152744512218774e-11,10.0,large,0.9888888888888888
12,Heart,OPTUNA_PSO,F1,900.0,3.019859359162157e-11,0.0,large,1.0
13,Heart,OPTUNA_PSO,Accuracy,779.0,1.1916487084908247e-06,121.0,large,0.8655555555555555
14,Heart,OPTUNA_PSO,AUC,551.0,0.1373173734456841,349.0,small,0.6122222222222222
15,Heart,PSO_Random Search,F1,4.0,4.504322112705282e-11,896.0,large,0.0044444444444444
16,Heart,PSO_Random Search,Accuracy,283.0,0.0138250270732633,617.0,medium,0.3144444444444444
17,Heart,PSO_Random Search,AUC,445.0,0.9469552063691844,455.0,negligible,0.4944444444444444
18,Fruit,GA_OPTUNA,F1,239.0,0.0018569359734827,661.0,medium,0.2655555555555555
19,Fruit,GA_OPTUNA,Accuracy,311.0,0.0404862472186202,589.0,small,0.3455555555555555
20,Fruit,GA_OPTUNA,AUC,342.0,0.1097165530225979,558.0,small,0.38
21,Fruit,GA_PSO,F1,726.0,4.6367113100491495e-05,174.0,large,0.8066666666666666
22,Fruit,GA_PSO,Accuracy,879.0,2.3125765440099112e-10,21.0,large,0.9766666666666668
23,Fruit,GA_PSO,AUC,690.0,5.374951270022975e-06,210.0,large,0.7666666666666667
24,Fruit,GA_Random Search,F1,328.0,0.0724376622903292,572.0,small,0.3644444444444444
25,Fruit,GA_Random Search,Accuracy,459.0,0.8999410938488778,441.0,negligible,0.51
26,Fruit,GA_Random Search,AUC,457.0,0.9229550733987189,443.0,negligible,0.5077777777777778
27,Fruit,OPTUNA_Random Search,F1,827.0,2.6015113749963413e-08,73.0,large,0.9188888888888888
28,Fruit,OPTUNA_Random Search,Accuracy,863.0,1.0701785878647307e-09,37.0,large,0.9588888888888888
29,Fruit,OPTUNA_Random Search,AUC,875.0,3.4741966068317727e-10,25.0,large,0.9722222222222222
30,Fruit,OPTUNA_PSO,F1,891.0,7.389082518022347e-11,9.0,large,0.99
31,Fruit,OPTUNA_PSO,Accuracy,900.0,3.0104073709630884e-11,0.0,large,1.0
32,Fruit,OPTUNA_PSO,AUC,900.0,1.211780397005976e-12,0.0,large,1.0
33,Fruit,PSO_Random Search,F1,0.0,3.019859359162157e-11,900.0,large,0.0
34,Fruit,PSO_Random Search,Accuracy,0.0,3.0104073709630884e-11,900.0,large,0.0
35,Fruit,PSO_Random Search,AUC,0.0,1.2117803970059759e-12,900.0,large,0.0
36,Wine,GA_OPTUNA,F1,172.0,4.08294712583794e-05,728.0,large,0.1911111111111111
37,Wine,GA_OPTUNA,Accuracy,212.0,0.0004435503746773,688.0,large,0.2355555555555555
38,Wine,GA_OPTUNA,AUC,348.0,0.1322657735255026,552.0,small,0.3866666666666666
39,Wine,GA_PSO,F1,771.0,2.15333462179913e-06,129.0,large,0.8566666666666667
40,Wine,GA_PSO,Accuracy,843.0,6.424816123795613e-09,57.0,large,0.9366666666666666
41,Wine,GA_PSO,AUC,735.0,3.45263236009729e-07,165.0,large,0.8166666666666667
42,Wine,GA_Random Search,F1,252.0,0.0035007116368698,648.0,medium,0.28
43,Wine,GA_Random Search,Accuracy,429.0,0.7617352367884301,471.0,negligible,0.4766666666666667
44,Wine,GA_Random Search,AUC,491.0,0.5481012790921818,409.0,negligible,0.5455555555555556
45,Wine,OPTUNA_Random Search,F1,792.0,4.444047873995194e-07,108.0,large,0.88
46,Wine,OPTUNA_Random Search,Accuracy,794.0,3.805262810100767e-07,106.0,large,0.8822222222222222
47,Wine,OPTUNA_Random Search,AUC,888.0,9.918628618948e-11,12.0,large,0.9866666666666668
48,Wine,OPTUNA_PSO,F1,900.0,3.019859359162157e-11,0.0,large,1.0
49,Wine,OPTUNA_PSO,Accuracy,892.0,6.691467818113679e-11,8.0,large,0.9911111111111112
50,Wine,OPTUNA_PSO,AUC,900.0,1.211780397005976e-12,0.0,large,1.0
51,Wine,PSO_Random Search,F1,0.0,3.019859359162157e-11,900.0,large,0.0
52,Wine,PSO_Random Search,Accuracy,24.0,3.157111311247434e-10,876.0,large,0.0266666666666666
53,Wine,PSO_Random Search,AUC,0.0,1.2117803970059759e-12,900.0,large,0.0
