,Algorithm,Accuracy,F1,AUC
0,PSO,0.8607989594946116,0.8894567284343022,0.9888507991030973
1,PSO,0.792894834633965,0.826582873085863,0.9888312403880736
2,GA,0.9020104050538834,0.9059970864438998,0.9921385670528065
3,Optuna,0.8941806020066889,0.8989318644666477,0.991405324709997
4,PSO,0.8841917502787068,0.8649023912678029,0.9874301940233662
5,GA,0.9064734299516908,0.9024300326941688,0.9930020343892948
6,PSO,0.8652768487551096,0.8380035032168074,0.988677371246895
7,GA,0.9031140839836492,0.9022855172719054,0.9924556808061245
8,Optuna,0.900921590486808,0.897654605683775,0.9915702919233164
9,PSO,0.8140319583797845,0.8704675890431964,0.9888634343092878
10,GA,0.9064659977703456,0.8939373806624301,0.9924648282885524
11,PSO,0.8496469713861018,0.809494666202614,0.984896648227806
12,GA,0.9042437755481232,0.902449567860022,0.992762305030216
13,PSO,0.8674730583426236,0.8546007750617929,0.9874372549315794
14,GA,0.9053325901151988,0.9082817793253424,0.9923254019261522
15,PSO,0.8786733556298773,0.8598156374180803,0.9882657382339444
16,GA,0.9031140839836492,0.908042402415839,0.9930119615282912
17,PSO,0.8864288368636194,0.8801298355213678,0.9817114742395061
