,Algorithm,Accuracy,F1,AUC
0,Optuna,0.8015757379526199,0.8013689560413679,0.9456948874136124
1,Optuna,0.7979111169980525,0.8027900325488379,0.9497596384922926
2,Optuna,0.8046958168376332,0.7994947547458876,0.9489605080727528
3,Optuna,0.8036721431573302,0.8015563364704216,0.9498815262091196
4,Optuna,0.8109637740526522,0.8030968264325954,0.9506766866798576
5,Optuna,0.7963478070326054,0.801243957299107,0.948056032547872
6,Optuna,0.8057464723321935,0.806211676173552,0.9500429470441308
7,Optuna,0.8047080812986592,0.8106466871181529,0.9466229878449748
8,Optuna,0.8083588025307306,0.8083449265117196,0.9488335779606468
9,Optuna,0.8041766213208662,0.8018188132628031,0.9456368815420534
10,Optuna,0.8052289120768966,0.8042694556122685,0.9497519620963548
11,Optuna,0.8120062532398618,0.8066411184428007,0.9525921763482972
12,Optuna,0.8047064460371892,0.8101438058297981,0.9488018611175684
13,Optuna,0.8020908453157117,0.8002417714386656,0.9472874319369594
14,Optuna,0.7952971515380453,0.8027024318955549,0.9493452047395482
15,Optuna,0.802081851377626,0.7941150174205198,0.9468393255099604
16,Optuna,0.807304058882495,0.799460243660473,0.946056659010996
17,Optuna,0.8052125594621952,0.8084787620368817,0.9494613873036168
18,Optuna,0.805223188661751,0.7979369802865732,0.9487603719770328
19,Optuna,0.8041831623667467,0.8030640649089592,0.9506303703316036
20,Optuna,0.8094061875023507,0.8099812977658202,0.9492646200233024
21,Optuna,0.8073056941439652,0.8061275734227422,0.9495890959817578
22,Optuna,0.801034466406006,0.7993189612208527,0.9450828435031454
23,Optuna,0.8026133113554191,0.796916595882375,0.9470184171110384
24,Optuna,0.8052297297076315,0.7978538989280298,0.9480439996590092
25,GA,0.8156577921026683,0.8117074184777281,0.950957056019454
26,GA,0.8083588025307306,0.8004997061036607,0.9503533218944668
27,GA,0.8057415665477832,0.8105590533609209,0.9480310298253696
28,GA,0.816182711034581,0.8123634687987741,0.9498011021777812
29,GA,0.8146349360531002,0.8020977945833611,0.9497956650569278
30,GA,0.8078289778144075,0.8071792581318241,0.9442102300331424
31,GA,0.8026149466168894,0.8128548485336156,0.9565517727841116
32,GA,0.8161867991882562,0.78565734161027,0.9570130150836456
33,GA,0.8073089646669054,0.8037876484696103,0.9500805001711456
34,GA,0.8093906525183844,0.8000100979007742,0.9527677834182828
35,GA,0.8250719923862225,0.8065034227988638,0.9540681129970534
36,GA,0.813056908734422,0.804063984865253,0.9489898379905464
37,GA,0.8187925883409127,0.8080245939284284,0.954770558340427
38,GA,0.8020900276849767,0.8127896230050614,0.9513797179828117
0,PSO,0.7128031161542575,0.6828716835509175,0.9203079452001092
1,PSO,0.6302886400020931,0.6236760061652146,0.8870432850060558
2,PSO,0.6757251975804671,0.683115802439981,0.9014376212526178
3,PSO,0.61984340736162,0.684525892108486,0.8987099004128242
4,PSO,0.6819866137496055,0.6597422024496714,0.9018447082193743
5,PSO,0.6778256909388527,0.6033764813606691,0.9028220028717326
6,PSO,0.6866724554922709,0.7647124663851138,0.9025903169716653
7,PSO,0.7196025333470696,0.650647972680341,0.875698643089203
8,PSO,0.6777929857094501,0.7172000297692617,0.8924037205153152
9,PSO,0.6678947480307365,0.6294226397565276,0.904435917680492
10,PSO,0.6741586170920799,0.7292651843180282,0.8810784679303937
11,PSO,0.7065098123864515,0.6568192914063183,0.9170727620050432
12,PSO,0.7577057608626331,0.7067592120421263,0.8731286113220128
13,PSO,0.6939877976789098,0.6396670713108682,0.9177955066048146
14,PSO,0.7566624640446884,0.6947551407723491,0.8944899639013567
15,PSO,0.6861614362828545,0.6551059087941519,0.9053139080619091
16,GA,0.8062738441563114,0.8004519113062586,0.9143382911273936
17,GA,0.8114886929845649,0.8027142091156692,0.9522528790247597
0,PSO,0.7702351342467905,0.6626897352972203,0.9128617815252256
1,PSO,0.7044273069042375,0.715622291030409,0.8763340641502987
2,PSO,0.6020779267500976,0.7011391020654903,0.925988850974472
3,PSO,0.6156620437824906,0.6894205054195556,0.894930900606879
4,PSO,0.6715356576939869,0.6771426451538786,0.910605626019267
5,PSO,0.6825082621585778,0.7217239662511279,0.9181565053489574
6,PSO,0.6809441345623958,0.639535850935745,0.9313745184488385
7,PSO,0.5665739473413102,0.7046437439376948,0.8985483229709348
8,PSO,0.6443862291361077,0.647409484750054,0.8769429087504782
9,PSO,0.7451861990472967,0.6650219971421399,0.8805935485365408
10,PSO,0.6908530014406654,0.6924617524373696,0.878016383212687
11,PSO,0.7718131615654685,0.6047071414605861,0.8905811282526942
12,PSO,0.6516966655383363,0.6110899060811533,0.8932329494457173
13,PSO,0.6652685181097032,0.6808716123116962,0.8955274831281074
14,GA,0.792178707914502,0.8027542969228868,0.9492286901409156
15,GA,0.8047031755142489,0.8054018310355383,0.950487550406824
0,GA,0.7932269105168571,0.8007841861557233,0.9544283993225804
1,GA,0.8104355845977992,0.8020103329742775,0.9507270117667724
2,GA,0.8078322483373479,0.779291235647519,0.9553261927330564
3,GA,0.8073155057127859,0.8014220036539288,0.9524384210422372
4,GA,0.8114968692919154,0.8030989325839135,0.9517630944160712
5,GA,0.8140969350294266,0.8061177105211682,0.951746912568326
6,GA,0.8135752866204542,0.7992991106099828,0.9539195092680878
7,GA,0.8146136776539885,0.8051443975976721,0.9553197963384068
8,GA,0.808363708315141,0.8078928766314992,0.9523325699635813
0,GA,0.8046990873605736,0.806928977050564,0.9515249905529196
1,GA,0.8088698217401471,0.8067345938980349,0.9565107495940572
2,GA,0.8130642674110377,0.8019563309385335,0.9527265563190808
3,Optuna,0.8020867571620364,0.8059268358680794,0.9503084364341836
4,Optuna,0.8026173995090945,0.7989750042890309,0.9483808132997992
5,Optuna,0.809408640394556,0.8014565930536989,0.948783145342696
6,Optuna,0.8052272768154264,0.801173273546052,0.9466601844589314
7,Optuna,0.8067914044116083,0.8020955418618426,0.9499420689139302
8,PSO,0.571277776960147,0.6467259546248746,0.8728151149123952
9,PSO,0.621405899696332,0.7276913497229938,0.9043731427617464
10,PSO,0.7107009875344019,0.7328650600235447,0.918658373375848
11,PSO,0.7169697623801558,0.6632629866627617,0.906214352845737
12,PSO,0.7023415308990831,0.7221998155811346,0.9146032354167888
13,GA,0.8125262663873641,0.8008692342218416,0.9540701141641397


