,Algorithm,Accuracy,F1,AUC
0,PSO,0.7128031161542575,0.6828716835509175,0.9203079452001092
1,PSO,0.6302886400020931,0.6236760061652146,0.8870432850060558
2,PSO,0.6757251975804671,0.683115802439981,0.9014376212526178
3,PSO,0.61984340736162,0.684525892108486,0.8987099004128242
4,PSO,0.6819866137496055,0.6597422024496714,0.9018447082193743
5,PSO,0.6778256909388527,0.6033764813606691,0.9028220028717326
6,PSO,0.6866724554922709,0.7647124663851138,0.9025903169716653
7,PSO,0.7196025333470696,0.650647972680341,0.875698643089203
8,PSO,0.6777929857094501,0.7172000297692617,0.8924037205153152
9,PSO,0.6678947480307365,0.6294226397565276,0.904435917680492
10,PSO,0.6741586170920799,0.7292651843180282,0.8810784679303937
11,PSO,0.7065098123864515,0.6568192914063183,0.9170727620050432
12,PSO,0.7577057608626331,0.7067592120421263,0.8731286113220128
13,PSO,0.6939877976789098,0.6396670713108682,0.9177955066048146
14,PSO,0.7566624640446884,0.6947551407723491,0.8944899639013567
15,PSO,0.6861614362828545,0.6551059087941519,0.9053139080619091
16,GA,0.8062738441563114,0.8004519113062586,0.9143382911273936
17,GA,0.8114886929845649,0.8027142091156692,0.9522528790247597
