,Algorithm,Accuracy,F1,AUC
33,PSO,0.2094159031413612,0.0781986979825139,0.5
34,PSO,0.5775278141361256,0.0813888982282118,0.5
35,PSO,0.2297365837696335,0.08059858300445,0.5
36,PSO,0.2208687827225131,0.0794473139519037,0.5
37,PSO,0.2214386998254799,0.0861806565389191,0.5
38,PSO,0.2297147687609075,0.0740119549410918,0.5
39,PSO,0.2146051483420593,0.080802135313623,0.5
40,PSO,0.2297611256544502,0.0862753441390853,0.5
41,PSO,0.2297774869109947,0.0866746530282772,0.5
42,PSO,0.229785667539267,0.0865590213565826,0.5
43,PSO,0.2213950698080279,0.0793552467740783,0.5
44,PSO,0.2188127181500872,0.080607262644966,0.5
45,PSO,0.229752945026178,0.0778595662533909,0.5
46,PSO,0.2198352966841186,0.0870607273853181,0.5
47,PSO,0.2208824171029668,0.0677490221753053,0.5
48,PSO,0.221929537521815,0.0875449901771383,0.5
49,PSO,0.2214496073298429,0.0803685607803404,0.5
50,PSO,0.2297611256544502,0.0776194654139648,0.5
51,PSO,0.2297174956369982,0.0814453260651383,0.5
52,PSO,0.2297256762652705,0.07123030006473,0.5
53,PSO,0.2297338568935427,0.087058078143552,0.5
54,PSO,0.2177574171029668,0.0719014091228257,0.5
55,PSO,0.2297911212914485,0.079501560166982,0.5
56,PSO,0.2192981020942408,0.0729870119049452,0.5
57,PSO,0.2052383289703316,0.0822464875220972,0.5
58,PSO,0.2203588568935427,0.0860712509753855,0.5
59,PSO,0.2093804537521814,0.0870802614804471,0.5
60,PSO,0.2297665794066317,0.0796900764551414,0.5
61,PSO,0.22979657504363,0.0806635320386773,0.5
62,PSO,0.2198243891797557,0.086466042860321,0.5
