,Algorithm,Accuracy,F1,AUC
0,Optuna,0.8015757379526199,0.8013689560413679,0.9456948874136124
1,Optuna,0.7979111169980525,0.8027900325488379,0.9497596384922926
2,Optuna,0.8046958168376332,0.7994947547458876,0.9489605080727528
3,Optuna,0.8036721431573302,0.8015563364704216,0.9498815262091196
4,Optuna,0.8109637740526522,0.8030968264325954,0.9506766866798576
5,Optuna,0.7963478070326054,0.801243957299107,0.948056032547872
6,Optuna,0.8057464723321935,0.806211676173552,0.9500429470441308
7,Optuna,0.8047080812986592,0.8106466871181529,0.9466229878449748
8,Optuna,0.8083588025307306,0.8083449265117196,0.9488335779606468
9,Optuna,0.8041766213208662,0.8018188132628031,0.9456368815420534
10,Optuna,0.8052289120768966,0.8042694556122685,0.9497519620963548
11,Optuna,0.8120062532398618,0.8066411184428007,0.9525921763482972
12,Optuna,0.8047064460371892,0.8101438058297981,0.9488018611175684
13,Optuna,0.8020908453157117,0.8002417714386656,0.9472874319369594
14,Optuna,0.7952971515380453,0.8027024318955549,0.9493452047395482
15,Optuna,0.802081851377626,0.7941150174205198,0.9468393255099604
16,Optuna,0.807304058882495,0.799460243660473,0.946056659010996
17,Optuna,0.8052125594621952,0.8084787620368817,0.9494613873036168
18,Optuna,0.805223188661751,0.7979369802865732,0.9487603719770328
19,Optuna,0.8041831623667467,0.8030640649089592,0.9506303703316036
20,Optuna,0.8094061875023507,0.8099812977658202,0.9492646200233024
21,Optuna,0.8073056941439652,0.8061275734227422,0.9495890959817578
22,Optuna,0.801034466406006,0.7993189612208527,0.9450828435031454
23,Optuna,0.8026133113554191,0.796916595882375,0.9470184171110384
24,Optuna,0.8052297297076315,0.7978538989280298,0.9480439996590092
85,Optuna,0.8020867571620364,0.8059268358680794,0.9503084364341836
86,Optuna,0.8026173995090945,0.7989750042890309,0.9483808132997992
87,Optuna,0.809408640394556,0.8014565930536989,0.948783145342696
88,Optuna,0.8052272768154264,0.801173273546052,0.9466601844589314
89,Optuna,0.8067914044116083,0.8020955418618426,0.9499420689139302
