,Algorithm,Accuracy,F1,AUC
0,GA,0.8046990873605736,0.806928977050564,0.9515249905529196
1,GA,0.8088698217401471,0.8067345938980349,0.9565107495940572
2,GA,0.8130642674110377,0.8019563309385335,0.9527265563190808
3,Optuna,0.8020867571620364,0.8059268358680794,0.9503084364341836
4,Optuna,0.8026173995090945,0.7989750042890309,0.9483808132997992
5,Optuna,0.809408640394556,0.8014565930536989,0.948783145342696
6,Optuna,0.8052272768154264,0.801173273546052,0.9466601844589314
7,Optuna,0.8067914044116083,0.8020955418618426,0.9499420689139302
8,PSO,0.571277776960147,0.6467259546248746,0.8728151149123952
9,PSO,0.621405899696332,0.7276913497229938,0.9043731427617464
10,PSO,0.7107009875344019,0.7328650600235447,0.918658373375848
11,PSO,0.7169697623801558,0.6632629866627617,0.906214352845737
12,PSO,0.7023415308990831,0.7221998155811346,0.9146032354167888
13,GA,0.8125262663873641,0.8008692342218416,0.9540701141641397
