,Algorithm,Accuracy,F1,AUC
0,Optuna,0.9098216276477148,0.9105697366625328,0.992936928652426
1,Optuna,0.909799331103679,0.9076617533580724,0.9933673633189832
2,Optuna,0.9075771088814566,0.9098859135381636,0.9932170868197394
3,Optuna,0.9131289483463396,0.9078112383012444,0.9929415044247474
4,Optuna,0.9075659606094388,0.910585869773441,0.9932730125142456
5,Optuna,0.907573392790784,0.9099739781726662,0.9931176483847142
6,Optuna,0.9109067261241174,0.906722082949628,0.9933009219240194
7,Optuna,0.9086993682645856,0.906397490751664,0.9930118480569664
8,Optuna,0.9075696767001116,0.9072026273449804,0.9928488777161888
9,Optuna,0.9097881828316612,0.9092928340342802,0.99320928254848
10,Optuna,0.9097844667409886,0.9112612824455112,0.9933398178298876
11,Optuna,0.9086993682645856,0.9103401621633124,0.9932318526630204
12,Optuna,0.9098141954663692,0.9069488201945344,0.9930472331376816
13,Optuna,0.9086919360832404,0.9074017694359382,0.9933814918519452
14,Optuna,0.9075956893348196,0.9071750196114036,0.9930144869688194
15,Optuna,0.90867707172055,0.9063515124715752,0.9933391996612332
16,Optuna,0.9097770345596432,0.9087056248278724,0.993667860181494
17,Optuna,0.9109364548494984,0.910009687691256,0.9930689003278452
18,Optuna,0.9064697138610182,0.9071546050773972,0.9931137976963031
19,Optuna,0.9075956893348196,0.908695129389996,0.9932326137075606
20,Optuna,0.907584541062802,0.9073520409999004,0.9930760463254272
21,Optuna,0.9064622816796728,0.9088253149752548,0.992867286733219
22,Optuna,0.9087216648086214,0.9108905673290878,0.9934149319370996
23,Optuna,0.9053586027499072,0.9104389518589948,0.993082435467678
24,Optuna,0.9097956150130064,0.9089160786521334,0.993286918976843
25,Optuna,0.9075994054254924,0.9112329759593272,0.9930867165603036
26,Optuna,0.9075399479747306,0.9067188750778824,0.9930204531091475
27,Optuna,0.9097918989223336,0.9055128052066772,0.9934197322868576
28,Optuna,0.908695652173913,0.9083503943055252,0.9933743389776074
29,Optuna,0.9087030843552584,0.9136507360252888,0.9931814144526596
30,Optuna,0.91091044221479,0.9128764410405767,0.9930338593861778
31,Optuna,0.9086919360832404,0.9096751562599646,0.9930399379181448
32,Random Search,0.9120104050538832,0.8998544986289622,0.991777135379916
33,Random Search,0.9053623188405796,0.9039678779008457,0.9920548992158004
34,Random Search,0.903154960981048,0.9017484110395249,0.9927534480827996
35,Random Search,0.897536231884058,0.8946864334766745,0.9919263533381298
36,Random Search,0.9075622445187662,0.9089050144258016,0.9917259164872756
37,Random Search,0.9009030100334448,0.8997345302144918,0.9917092813446448
38,Random Search,0.9064511334076552,0.9051049774548988,0.9926411561355444
39,Random Search,0.8964102564102564,0.903890577192742,0.9922920641970648
40,Random Search,0.8997584541062801,0.89590543443359,0.9927868893256884
41,Random Search,0.8953325901151987,0.8998468325305974,0.9906142427657936
42,Random Search,0.9042326272761056,0.903519292476844,0.9919080501978598
43,Random Search,0.9075585284280936,0.9012666824365504,0.9922839822990812
44,Random Search,0.9019583797844668,0.9057247784981072,0.9913784695483931
45,Random Search,0.9086845039018951,0.8983845414222024,0.9926820767205632
46,Random Search,0.8975399479747305,0.8993733398595948,0.9915590689947444
47,Random Search,0.8975510962467483,0.9103444853385944,0.9923858592997452
48,Random Search,0.9009178743961352,0.9037481093029364,0.9925078152731716
49,Random Search,0.9031289483463396,0.9122234538003844,0.992312923492114
50,Random Search,0.9041917502787068,0.9017245625928668,0.9925873976586976
51,Random Search,0.903125232255667,0.9035525311085164,0.9909024027673108
52,Random Search,0.9042437755481232,0.9012074265913238,0.9920474029611948
53,Random Search,0.9064585655890004,0.9035758527618772,0.991814371631924
54,Random Search,0.9031029357116314,0.9082129310793062,0.992037890072087
55,Random Search,0.9097881828316612,0.8971020660834838,0.9917160981355382
56,Random Search,0.9019992567818654,0.8976101406800666,0.990846071211282
57,Random Search,0.8986696395392048,0.9021773267569684,0.9921132780074956
58,Random Search,0.9053325901151988,0.9058919156524616,0.9916133237847112
59,Random Search,0.9042289111854328,0.8979843888976907,0.9907098652708136
60,Random Search,0.9031215161649944,0.8940648939807349,0.991854848084156
61,Random Search,0.9019992567818654,0.9006025175170548,0.9925964320908968
62,Random Search,0.9009067261241174,0.9002910641623041,0.9923938560685672
63,PSO,0.900923845193508,0.8906133271217369,0.9925467557378108
