,Algorithm,Accuracy,F1,AUC
0,GA,0.8906074673824559,0.8984072700935791,0.939945255008312
1,Optuna,0.8861814554868613,0.8955255085604138,0.9405191640831492
2,GA,0.8894633781434952,0.9000429191897187,0.9345715836987076
3,GA,0.8873035430096881,0.9020707846374152,0.939875855740866
4,Optuna,0.8850923705382353,0.8995299338833013,0.9429623804453447
5,GA,0.8862071241556841,0.8982417985536107,0.9380513745613294
6,Optuna,0.8861924563449283,0.8968531340109184,0.9398873220009946
7,GA,0.8873328786311999,0.9023303313432128,0.9406572797427728
8,Optuna,0.8861997902503062,0.8954050306991483,0.9389018747455948
9,GA,0.8883486245260462,0.8982216719090514,0.9353327489814816
10,Optuna,0.8862034572029952,0.8964016609947754,0.9392020506141444
11,GA,0.8883999618636921,0.8981207965137926,0.9389187682660584
12,Optuna,0.8872412048139755,0.8987075322748539,0.9387932472596652
13,GA,0.8861851224395503,0.9000611814486561,0.938361373511442
14,GA,0.8861924563449283,0.8978300854888875,0.9375190978461551
15,Optuna,0.8861851224395503,0.8981383042749135,0.9389088044540196
16,GA,0.8872742073881764,0.8990950346494334,0.9369360888049044
17,Optuna,0.889507381575763,0.8963424568263277,0.9388071706018226
18,GA,0.8850960374909244,0.8970652015145896,0.9372075926519768
19,Optuna,0.8861814554868613,0.8984137329139609,0.9378235535919862
20,GA,0.8862071241556841,0.8991751798650928,0.9372456792148859
21,Optuna,0.8828775311140936,0.8961379830233366,0.9409057701308883
22,GA,0.88840729576907,0.8986241149319788,0.9388170901125356
