,Algorithm,Accuracy,F1,AUC
0,Random Search,0.8773661012225619,0.8877384937834206,0.9323186128266072
1,Random Search,0.8674029907666131,0.8835623252713579,0.9295720341711232
2,Random Search,0.8773661012225619,0.8918157771961948,0.9235347031024462
3,Random Search,0.8729107537054558,0.8861315101236374,0.9292873246671276
4,Random Search,0.8740181734175266,0.8943908288502351,0.9300649644384684
5,Random Search,0.8762366797943573,0.8874993574113157,0.9287216298687854
6,Random Search,0.8641210681099792,0.8934343400849856,0.9272086620431887
7,Random Search,0.8795222694036801,0.8887362814868144,0.9324613810854928
8,Random Search,0.8773697681752509,0.8859330306597551,0.9333602374593576
9,Random Search,0.8740401751336604,0.8909136983880792,0.9298821331638308
10,Random Search,0.8762513476051131,0.8854636060487788,0.9286538347379908
11,Random Search,0.8740255073229045,0.8883437740411034,0.9271701115989218
12,Random Search,0.8773294316956722,0.8830320124060383,0.9290578224110836
13,Random Search,0.8762293458889793,0.8954359435972364,0.931197215259064
14,Random Search,0.8784515192184991,0.883243103196678,0.9299732021058498
15,Random Search,0.8806480238791959,0.8915724274651119,0.9292440136737884
16,Random Search,0.8707252499028257,0.889981926974285,0.9354945719021024
17,Random Search,0.8729107537054558,0.8864387031408308,0.93223801098395
18,Random Search,0.879536937214436,0.8954261827398989,0.9315937547155348
19,Random Search,0.8751292600822863,0.8837828367187225,0.9262061344189546
20,Random Search,0.8707362507608926,0.8897235979464097,0.9309859100852526
21,Random Search,0.8751439278930424,0.8883607467736155,0.932112413062182
22,Random Search,0.8707325838082037,0.8928735835368031,0.9316554568759348
23,Random Search,0.8751512617984202,0.8870319021361617,0.930390065492679
24,Random Search,0.8751475948457313,0.8898344497787214,0.9314535397554587
25,Random Search,0.8718106678987626,0.881133023467521,0.9312212780241624
26,Random Search,0.8718363365675857,0.8897853543568944,0.9280408997653916
27,Random Search,0.8740511759917274,0.8964998502380909,0.9270524616529584
28,Random Search,0.8750999244607746,0.8946934003317484,0.9308652566098582
29,Random Search,0.8685214113367509,0.8904554600930763,0.9339110938701408
30,Random Search,0.8685250782894398,0.8838757619088375,0.9273586897266476
