,Algorithm,Accuracy,F1,AUC
93,GA,0.9075808249721292,0.9105560038235664,0.9932475690822938
94,GA,0.9086807878112224,0.9090597857818808,0.9938300669855168
95,GA,0.909817911557042,0.9061281276414852,0.9935321787734084
96,GA,0.907573392790784,0.90927665471158,0.9929834891252662
97,GA,0.907573392790784,0.9077490635821248,0.9931874410570228
98,GA,0.9075696767001116,0.9165553187672,0.9934172108645885
99,GA,0.9053548866592344,0.9079362435405796,0.9927978516719568
100,GA,0.9076068376068376,0.907986174442961,0.9932989608060095
101,GA,0.908695652173913,0.9061072721648245,0.993552967054126
102,GA,0.9098067632850242,0.9087341715784384,0.993605600060285
103,GA,0.91314381270903,0.9072576884656048,0.99336768688906
104,GA,0.9098327759197324,0.9083898549227496,0.9936299569063896
105,GA,0.9098216276477146,0.9094025042787148,0.9929912355423768
106,GA,0.9086733556298774,0.9105909731165608,0.9933371124395922
107,GA,0.914247491638796,0.9115822644978996,0.9935686742053816
108,GA,0.9087068004459308,0.9116614188711454,0.9935034390790758
109,GA,0.9064697138610182,0.9067988115910106,0.9935209672158916
110,GA,0.9109030100334448,0.9084884631572484,0.9932964437258992
111,GA,0.9086733556298774,0.909247316356895,0.9932459585979346
112,GA,0.9142549238201412,0.9091007989670574,0.9930395661755076
113,GA,0.9109067261241174,0.9052582402161532,0.9931516844060196
114,GA,0.9087068004459308,0.9093429920426972,0.9933789658439216
115,GA,0.909806763285024,0.9076855673600642,0.9931296359169942
116,GA,0.9120252694165738,0.9106871413425264,0.9938682330846612
117,GA,0.9086807878112224,0.911087654430261,0.9934377256009932
118,GA,0.9120215533259012,0.908441977949567,0.9931952819779836
119,GA,0.907573392790784,0.9102374480684104,0.9932139792180325
120,GA,0.9075771088814568,0.9102710964551594,0.993751921440374
121,GA,0.9086882199925678,0.9102377053206416,0.9930391243982456
122,GA,0.9120215533259012,0.9063455980097568,0.993022941033257
