,Algorithm,Accuracy,F1,AUC
0,Optuna,0.9098216276477148,0.9105697366625328,0.992936928652426
1,Optuna,0.909799331103679,0.9076617533580724,0.9933673633189832
2,Optuna,0.9075771088814566,0.9098859135381636,0.9932170868197394
3,Optuna,0.9131289483463396,0.9078112383012444,0.9929415044247474
4,Optuna,0.9075659606094388,0.910585869773441,0.9932730125142456
5,Optuna,0.907573392790784,0.9099739781726662,0.9931176483847142
6,Optuna,0.9109067261241174,0.906722082949628,0.9933009219240194
7,Optuna,0.9086993682645856,0.906397490751664,0.9930118480569664
8,Optuna,0.9075696767001116,0.9072026273449804,0.9928488777161888
9,Optuna,0.9097881828316612,0.9092928340342802,0.99320928254848
10,Optuna,0.9097844667409886,0.9112612824455112,0.9933398178298876
11,Optuna,0.9086993682645856,0.9103401621633124,0.9932318526630204
12,Optuna,0.9098141954663692,0.9069488201945344,0.9930472331376816
13,Optuna,0.9086919360832404,0.9074017694359382,0.9933814918519452
14,Optuna,0.9075956893348196,0.9071750196114036,0.9930144869688194
15,Optuna,0.90867707172055,0.9063515124715752,0.9933391996612332
16,Optuna,0.9097770345596432,0.9087056248278724,0.993667860181494
17,Optuna,0.9109364548494984,0.910009687691256,0.9930689003278452
18,Optuna,0.9064697138610182,0.9071546050773972,0.9931137976963031
19,Optuna,0.9075956893348196,0.908695129389996,0.9932326137075606
20,Optuna,0.907584541062802,0.9073520409999004,0.9930760463254272
21,Optuna,0.9064622816796728,0.9088253149752548,0.992867286733219
22,Optuna,0.9087216648086214,0.9108905673290878,0.9934149319370996
23,Optuna,0.9053586027499072,0.9104389518589948,0.993082435467678
24,Optuna,0.9097956150130064,0.9089160786521334,0.993286918976843
25,Optuna,0.9075994054254924,0.9112329759593272,0.9930867165603036
26,Optuna,0.9075399479747306,0.9067188750778824,0.9930204531091475
27,Optuna,0.9097918989223336,0.9055128052066772,0.9934197322868576
28,Optuna,0.908695652173913,0.9083503943055252,0.9933743389776074
29,Optuna,0.9087030843552584,0.9136507360252888,0.9931814144526596
