,Algorithm,Accuracy,F1,AUC
31,GA,0.8883816271002472,0.8995547300203169,0.9403576697476194
32,GA,0.8873145438677551,0.904672358974644,0.941799740620636
33,GA,0.888396294911003,0.8985696992641096,0.9409088511774316
34,GA,0.8883669592894913,0.9003536772763177,0.9411034533506132
35,GA,0.888410962721759,0.8977883550100039,0.9398843838808644
36,GA,0.8872815412935542,0.9006612448566687,0.9427858029461484
37,GA,0.8895073815757629,0.8961572204252012,0.9422355373430382
38,GA,0.8861924563449283,0.8997160984003143,0.9403643606962632
39,GA,0.8862034572029952,0.8965348491640565,0.9408740651779098
40,GA,0.8872888751989322,0.9004276209653285,0.941476727206031
41,GA,0.8895440511026527,0.8974859368323344,0.9413501992957066
42,GA,0.889503714623074,0.9008298234640464,0.9408764383194198
43,GA,0.8762696823685582,0.8965158001055472,0.942289794030069
44,GA,0.888399961863692,0.8988029507682725,0.9413872227289574
45,GA,0.8884182966271369,0.899907492076602,0.942491445127147
46,GA,0.887321877773133,0.896751985611402,0.940813480455963
47,GA,0.8850997044436132,0.8997797195731376,0.9422743348571118
48,GA,0.8872925421516212,0.9016330451488952,0.9409903170994856
49,GA,0.8883742931948692,0.8985955609608475,0.9409138484504952
50,GA,0.8861777885341723,0.8994230646634341,0.9420540720145996
51,GA,0.8872925421516212,0.9000271744608056,0.942717414262814
52,GA,0.8883742931948692,0.89941855067118,0.9399142784658124
53,GA,0.8884219635798258,0.8980542494689189,0.9395084053884388
54,GA,0.8872742073881762,0.8981843924037042,0.940710618195828
55,GA,0.8873108769150662,0.9011140410123858,0.9405827602515932
56,GA,0.8861704546287944,0.900360365004524,0.9417700971681264
57,GA,0.8840032855896093,0.8990922524580927,0.943692154126608
58,GA,0.8883669592894913,0.897959901853515,0.9419443718991714
59,GA,0.8840106194949873,0.9044057700691,0.9401418816536434
60,GA,0.8872558726247314,0.8998015348194741,0.9390641669234882
