,Algorithm,Accuracy,F1,AUC
62,PSO,0.8630036630036632,0.8808879310283638,0.9209313077991454
63,PSO,0.8597802197802198,0.8867358984833515,0.9319572850790314
64,PSO,0.8673870573870575,0.8852932221625268,0.9276493166125166
65,PSO,0.8629426129426129,0.8767721238705999,0.9262325265666982
66,PSO,0.8762637362637363,0.8754923658944952,0.9159678585007726
67,PSO,0.8598168498168498,0.8838408276215958,0.9270265754764052
68,PSO,0.8619780219780221,0.8826040705162981,0.9142447722592372
69,PSO,0.8607692307692307,0.8875072576855452,0.932439591872076
70,PSO,0.862954822954823,0.883469323436681,0.9364747941828302
71,PSO,0.8685347985347984,0.8828022813143377,0.9261886204398282
72,PSO,0.8663003663003662,0.8854216159674417,0.9321811390728733
73,PSO,0.8564224664224664,0.8749713804671366,0.9250158571398176
74,PSO,0.8717216117216117,0.8889835394053966,0.9400063549979936
75,PSO,0.8673748473748475,0.8918497718373282,0.9343602867627776
76,PSO,0.8596947496947498,0.8816283088341524,0.9375659666930908
77,PSO,0.8564835164835166,0.8823878651042699,0.9286689511033274
78,PSO,0.8652625152625154,0.8792620631997293,0.9341310421002036
79,PSO,0.8662637362637364,0.8862149087964474,0.9235045574960896
80,PSO,0.8730158730158729,0.8819124281087477,0.922851992501924
81,PSO,0.874065934065934,0.8836582670001853,0.9315203641684736
82,PSO,0.8662515262515262,0.88343971591765,0.9363512794715364
83,PSO,0.8630036630036632,0.8800906682297276,0.9281895256091368
84,PSO,0.8541147741147741,0.8850040784506591,0.9298658825610208
85,PSO,0.8685347985347986,0.8798110267189282,0.930260492479627
86,PSO,0.8674481074481075,0.8863626224142689,0.938757206712274
87,PSO,0.8651282051282051,0.8719719017292704,0.9360199340289588
88,PSO,0.8608913308913309,0.8839715767860115,0.9223365721073614
89,PSO,0.861868131868132,0.8837799440986395,0.9368691807267168
90,PSO,0.8706349206349205,0.884220235525125,0.9364712330641516
91,PSO,0.8652014652014653,0.8821047372751382,0.929584298419694
