,Algorithm,Accuracy,F1,AUC
90,Optuna,0.8172390899442866,0.816882524336068,0.9579368299497828
92,Optuna,0.8224449448344543,0.818634505917467,0.9579950047728598
93,Optuna,0.8214090066931252,0.8225542678318124,0.9574012539905103
94,Optuna,0.8245438029313696,0.8164349612878167,0.9571949713882104
95,Optuna,0.8182823867622314,0.8193094932406265,0.95796668373913
96,Optuna,0.8193060604425345,0.8200882536898203,0.9580638604779064
97,Optuna,0.8187917707101778,0.8128204663740353,0.9570073990071774
98,Optuna,0.8271512273454964,0.813742240194308,0.9570292673077304
99,Optuna,0.8234964179597496,0.8233170091015767,0.9576296577978964
100,Optuna,0.8214171830004758,0.8196234641223971,0.9563477288609208
101,Optuna,0.8240205192609272,0.8163550294509658,0.9579031516855676
102,Optuna,0.8214147301082706,0.8206172747703966,0.9575701281778536
103,Optuna,0.8219290198406274,0.8187908979030031,0.9567278907069814
104,Optuna,0.8219380137787131,0.8188974234182419,0.957447678029519
105,Optuna,0.8219216611640118,0.813545317083975,0.958344859336122
106,Optuna,0.8240221545223974,0.823533356149485,0.9585151080117744
107,Optuna,0.8182709399319403,0.815512581376849,0.9575046081591516
108,Optuna,0.8203558983063597,0.8170942756472098,0.9570848427005376
109,Optuna,0.8229772224429825,0.8178334274219236,0.9568076083354417
110,Optuna,0.8219298374713624,0.8189702250319012,0.9576438764833156
111,Optuna,0.8182758457163507,0.8243042866991913,0.9592362802006524
112,Optuna,0.8229723166585722,0.8171807662050078,0.9590031067518954
113,Optuna,0.824016431107252,0.8205592498755937,0.9581553931103378
114,Optuna,0.8177501091537032,0.8145479652699853,0.9589982271248352
115,Optuna,0.8172268254832606,0.8217648293717413,0.9584174553211912
116,Optuna,0.8198334322666523,0.8180985423750885,0.9571473320860864
117,Optuna,0.818794223602383,0.8187187048325385,0.9565759767630914
118,Optuna,0.8161892520804613,0.8173125918814733,0.956791474298924
119,Optuna,0.821934743255773,0.8233652426715844,0.9576430588129776
120,Optuna,0.8193232306879709,0.823596884714838,0.9585899799506864
