,Algorithm,Accuracy,F1,AUC
61,PSO,0.8235247600349039,0.8120932192119088,0.954371505775646
62,PSO,0.8229902923211169,0.813225209478538,0.9562860401625646
63,PSO,0.810435754799302,0.8221603332533185,0.9552636192852964
64,PSO,0.8292730148342059,0.8210228802867008,0.9369076992611156
65,PSO,0.8251063481675394,0.822934868048578,0.9549493845578648
66,PSO,0.8256053664921467,0.8127888659625253,0.9507810338790944
67,PSO,0.8193171902268761,0.8126981031551527,0.9579552979458316
68,PSO,0.8240155977312391,0.8247366452618135,0.9550985432208302
69,PSO,0.8172583987783595,0.8225432965132938,0.9587437178100118
70,PSO,0.8318308246073298,0.8255759050700192,0.9515348331483058
71,PSO,0.8297829406631763,0.8328538150775875,0.9551012812583788
72,PSO,0.8214059773123908,0.820744135826488,0.95234891769507
73,PSO,0.8281659031413613,0.829017021502431,0.9594837810087536
74,PSO,0.8209069589877837,0.8174021617218126,0.9486662913349057
75,PSO,0.818782722513089,0.819127512167495,0.9518231659495802
76,PSO,0.8250708987783595,0.8197954993940186,0.955253160130606
77,PSO,0.8250763525305411,0.8231860298504412,0.9497700233119244
78,PSO,0.8313208987783595,0.8139127148383146,0.9536084155653468
79,PSO,0.8140924956369983,0.8275718489437679,0.9502635877067784
80,PSO,0.8355039267015707,0.8219269083832457,0.9574272413807756
81,PSO,0.8281495418848166,0.8245010680994259,0.9532712727715128
82,PSO,0.8245146160558464,0.8194717201176023,0.9583847097564042
83,PSO,0.8130535558464225,0.8163667641530509,0.9578474129280474
84,PSO,0.820388852530541,0.8220172350514618,0.9542654822927862
85,PSO,0.8339850567190228,0.8191647053800004,0.9548921646709084
86,PSO,0.8297447643979059,0.8250618517110109,0.9520295333783948
87,PSO,0.829785667539267,0.8182384738256918,0.9578298470682418
88,PSO,0.8219513525305411,0.8120556758420656,0.9554079302048878
89,PSO,0.8162167321116929,0.8249842527895804,0.9534818675880914
91,PSO,0.8162112783595112,0.8188672592419735,0.9544161144875573
