,Algorithm,Accuracy,F1,AUC
0,Random Search,0.8078412422754336,0.7996168442920345,0.9523120490968088
1,Random Search,0.8020793984854208,0.813097785288297,0.9543991670376608
2,Random Search,0.8073195938664613,0.8088192521842359,0.9490703807568536
3,Random Search,0.8062771146792516,0.8003547784915357,0.951007526424001
4,Random Search,0.8020810337468909,0.8053135794472953,0.9509125927955384
5,Random Search,0.8052191005080758,0.7997928913190449,0.955311344597728
6,Random Search,0.8057481075936637,0.8047777326909976,0.948332485064982
7,Random Search,0.79948260327085,0.794731205765831,0.9515690160170158
8,Random Search,0.7958212528392227,0.804714136895058,0.9512921325204466
9,Random Search,0.8031349597643915,0.8090611637041282,0.949563125530674
10,Random Search,0.8026133113554191,0.8116848804479337,0.951439504227441
11,Random Search,0.8083588025307306,0.8086570832668762,0.9472778310197096
12,Random Search,0.8120095237628021,0.8062312318566426,0.951586705972912
13,Random Search,0.8083604377922008,0.808769973060134,0.9498457364289952
14,Random Search,0.8114870577230947,0.8008828088388832,0.9494613525279344
15,Random Search,0.8015634734915938,0.8015204824566814,0.9526005572986914
16,Random Search,0.8135883687122152,0.8104459157374023,0.950808160550772
17,Random Search,0.8067889515194032,0.8078299200780584,0.949475829673364
18,Random Search,0.7989552314467322,0.8065696207080344,0.9492997960702968
19,Random Search,0.8047097165601294,0.8043359219778883,0.9461730639676617
20,Random Search,0.8083669788380813,0.80528262588453,0.9473845505493216
21,Random Search,0.8088747275245575,0.8021676592008774,0.9514014669271592
22,Random Search,0.8005275353502648,0.8025410217261406,0.9542156503827762
23,Random Search,0.8140985702908967,0.8077880502357297,0.955805424430337
24,Random Search,0.7979143875209926,0.8031529154396688,0.9539628678579936
25,Random Search,0.8083498085926449,0.8078588996435901,0.9505082707601166
26,Random Search,0.8083571672692605,0.8084738177325006,0.9502268378687172
27,Random Search,0.8047064460371892,0.7977915316799624,0.952685651755752
28,Random Search,0.8026075879402738,0.8030517390968223,0.9492287039017568
29,Random Search,0.8120119766550072,0.7984324703870359,0.945421590360286
