,Algorithm,Accuracy,F1,AUC
0,PSO,0.8652684144818977,0.8718491324795246,0.9879906258722706
1,PSO,0.8719975031210987,0.8880469678643415,0.9887567762425804
2,PSO,0.895305867665418,0.8918785628288644,0.9901714729641996
3,PSO,0.8686392009987516,0.889144190690268,0.9899162861878072
4,GA,0.9009141583054626,0.8984032921299393,0.9914115768689749
5,GA,0.903117800074322,0.9015695880686028,0.991371980352997
6,GA,0.9009141583054626,0.899856124411687,0.9914584922759448
7,GA,0.9031623931623932,0.8998708158782344,0.9914483197729768
8,GA,0.9020104050538832,0.9017464482632936,0.9910144628976624
9,GA,0.903117800074322,0.9006156389469314,0.9913580852153446
10,GA,0.9075771088814566,0.9026537850980276,0.9911950375787392
11,GA,0.9019881085098476,0.9032280952652068,0.9912586233404642
12,GA,0.9064659977703456,0.9009290923435096,0.9915639974193184
13,GA,0.9030955035302862,0.9016909516325676,0.990837244793594
14,GA,0.9053251579338536,0.900874463933147,0.9916435590856716
15,GA,0.902014121144556,0.9012077886901292,0.991389719987546
16,GA,0.9031400966183576,0.9079085698548968,0.9911836531994834
17,GA,0.8997918989223338,0.9059949884040144,0.9917751844398924
18,GA,0.9019881085098476,0.898903508611668,0.9913488657965044
19,GA,0.905321441843181,0.9000504534346869,0.991284940924969
20,GA,0.9064474173169824,0.8998582956176264,0.9913826256440316
21,GA,0.8997658862876254,0.9003720973852549,0.9911324777454552
22,GA,0.9031400966183574,0.900400129218894,0.9917304956010684
23,GA,0.902014121144556,0.8982541889455486,0.9913714483184703
24,GA,0.9064474173169824,0.8998733037205832,0.9911702151524776
25,GA,0.9053586027499072,0.9051432267362772,0.9910948249052128
26,GA,0.9042697881828315,0.8999753355296796,0.9912910951572558
27,GA,0.9019881085098476,0.9021457975318872,0.9911762382952612
28,GA,0.9042251950947604,0.9023476496608086,0.9912382918722392
29,GA,0.903095503530286,0.9041484769157168,0.991699279615894
30,GA,0.9009067261241174,0.8990461160516062,0.9917176857509628
31,GA,0.9008844295800816,0.9040424449456448,0.9915206836224794
32,GA,0.9053511705685618,0.9022005085858268,0.9912893076376744
33,GA,0.903095503530286,0.9020884639012886,0.9910222852904856
34,Optuna,0.9098216276477147,0.9105697366625328,0.9929369286524259
35,Optuna,0.909799331103679,0.9076617533580725,0.9933673633189833
36,Optuna,0.9075771088814566,0.9098859135381637,0.9932170868197394
37,Optuna,0.9131289483463396,0.9078112383012443,0.9929415044247474
38,Optuna,0.9075659606094387,0.910585869773441,0.9932730125142455
39,Optuna,0.9075733927907841,0.9099739781726662,0.9931176483847142
40,Optuna,0.9109067261241174,0.9067220829496279,0.9933009219240194
41,Optuna,0.9086993682645857,0.906397490751664,0.9930118480569664
42,Optuna,0.9075696767001115,0.9072026273449803,0.9928488777161887
43,Optuna,0.9097881828316612,0.9092928340342802,0.99320928254848
44,Optuna,0.9097844667409886,0.9112612824455111,0.9933398178298877
45,Optuna,0.9086993682645855,0.9103401621633124,0.9932318526630205
46,Optuna,0.9098141954663693,0.9069488201945345,0.9930472331376817
47,Optuna,0.9086919360832404,0.9074017694359382,0.9933814918519452
48,Optuna,0.9075956893348197,0.9071750196114037,0.9930144869688194
