,Algorithm,Accuracy,F1,AUC
63,PSO,0.900923845193508,0.8906133271217369,0.9925467557378108
64,PSO,0.8986516853932585,0.9106220002210368,0.9924531168329744
65,PSO,0.8964794007490637,0.8979129743015987,0.9926358702822702
66,PSO,0.900861423220974,0.8978358023316362,0.9929535510666618
67,PSO,0.8986766541822722,0.9025758697781778,0.9932507773374488
68,PSO,0.9042197253433206,0.8999791488444396,0.9934416824828451
69,PSO,0.8985892634207241,0.8955364656428865,0.9925196043409734
70,PSO,0.8986516853932585,0.895341847171343,0.9910545137396028
71,PSO,0.9020224719101124,0.9058035141900048,0.9921687776496604
72,PSO,0.9031835205992508,0.9057011523767814,0.9915938319266614
73,PSO,0.8953558052434456,0.9057371272345064,0.9912454089850388
74,PSO,0.904207240948814,0.9033724158172444,0.9913205066416694
75,PSO,0.8964044943820223,0.9029969165597798,0.9916894281060912
76,PSO,0.898601747815231,0.9038197619880644,0.9926744884461592
77,PSO,0.9020724094881398,0.8968518620177657,0.9929668375066806
78,PSO,0.9043071161048688,0.8991891563652535,0.9931028538108608
79,PSO,0.8997378277153556,0.8957829909404316,0.9912386800443864
80,PSO,0.8952808988764044,0.9026664950979258,0.9914479918903636
81,PSO,0.895330836454432,0.8906184537414731,0.99314545950778
82,PSO,0.8997503121098628,0.8989773869679387,0.9929362315798892
83,PSO,0.8942072409488139,0.902836517428796,0.9912813947298602
84,PSO,0.9031960049937576,0.908858005712425,0.9927054182777508
85,PSO,0.9030337078651686,0.904689503643653,0.9915474744555108
86,PSO,0.90645443196005,0.898695736803521,0.9920707592023534
87,PSO,0.9009612983770288,0.904410444679827,0.9912375059274824
88,PSO,0.9020599250936328,0.9106894919879808,0.9923113479140744
89,PSO,0.9009113607990012,0.9076387415814964,0.9929930903954926
90,PSO,0.8964169787765291,0.8971962911315524,0.9914865524569036
91,PSO,0.9019975031210986,0.9031132924204056,0.9919394891226844
92,PSO,0.900923845193508,0.8930445929515303,0.9920123168499702
