,Algorithm,Accuracy,F1,AUC
23,GA,0.9142512077294686,0.9112756087752866,0.993817508000058
24,GA,0.9076068376068376,0.9104247403909864,0.994326952611857
25,GA,0.9031215161649944,0.9124624510107492,0.9932895188774687
26,GA,0.910891861761427,0.9139548511432436,0.9936514833771252
27,GA,0.917584541062802,0.9155136608533728,0.9937949226781404
28,GA,0.9098104793756968,0.9159708066434938,0.9934504652193232
29,GA,0.9153623188405796,0.918782785966128,0.9937326083977492
30,GA,0.910932738758826,0.9024680427296876,0.9934888407720044
31,GA,0.8942289111854329,0.9128188322877652,0.9934445533332378
32,GA,0.914236343366778,0.9151703962365452,0.9942796564839824
33,GA,0.9020178372352284,0.9008070005004788,0.9936645988115714
34,GA,0.907565960609439,0.9092643051038828,0.9932675781357172
35,GA,0.9109141583054626,0.9139247618741294,0.9932227105835398
36,GA,0.9153957636566332,0.9124873694642672,0.9940561944171922
37,GA,0.9120364176885914,0.9138996656972068,0.9934809412878104
38,GA,0.9097807506503158,0.9093376902989556,0.9935029792913204
39,GA,0.9164697138610182,0.9124245243965058,0.9935367420847822
40,GA,0.9120178372352288,0.9193209385963328,0.9929856594052796
41,GA,0.9131326644370122,0.9120988499810484,0.9933217797974692
42,GA,0.9142326272761055,0.91183508859744,0.9940917722644124
48,GA,0.9075956893348196,0.9083396916091196,0.9930257441070937
49,GA,0.9086993682645856,0.9017213568505582,0.9925514405243224
50,GA,0.9020066889632108,0.9067056633217532,0.9934469128444756
51,GA,0.8997621701969528,0.9040178223446076,0.9927219298987988
52,GA,0.9053511705685618,0.9010609445073502,0.9933087580421992
53,GA,0.9097956150130062,0.9034736673706268,0.9932744176567748
56,GA,0.9020104050538834,0.9059970864438998,0.9921385670528065
59,GA,0.9064734299516908,0.9024300326941688,0.9930020343892948
61,GA,0.9031140839836492,0.9022855172719054,0.9924556808061245
64,GA,0.9064659977703456,0.8939373806624301,0.9924648282885524
66,GA,0.9042437755481232,0.902449567860022,0.992762305030216
68,GA,0.9053325901151988,0.9082817793253424,0.9923254019261522
70,GA,0.9031140839836492,0.908042402415839,0.9930119615282912
