,Algorithm,Accuracy,F1,AUC
1,Optuna,0.89867707172055,0.9015638311367288,0.9922493082236684
2,Optuna,0.8997993311036789,0.9010838842023242,0.9925399069244092
3,Optuna,0.9031512448903752,0.8922243617754395,0.9920647648323672
4,Optuna,0.9042326272761056,0.8990469927832924,0.9926098023579863
5,Optuna,0.8975473801560758,0.8980884029800823,0.992138905601401
6,Optuna,0.902002972872538,0.8990507531138433,0.9911957105650876
7,Optuna,0.9019918246005202,0.8936495889179564,0.992345850835158
8,Optuna,0.8997547380156076,0.8986622606636575,0.99190063256917
9,Optuna,0.9020215533259012,0.9014908634367164,0.9925872564404936
10,Optuna,0.9008918617614268,0.8965363352044022,0.9917663574908012
11,Optuna,0.9042103307320698,0.8966509081364297,0.9920416233185876
12,Optuna,0.898658491267187,0.8964604361138577,0.991808841452872
13,Optuna,0.9020327015979188,0.8999718866754524,0.9918844752951438
14,Optuna,0.9031326644370122,0.9011862011103092,0.9914615562896908
15,Optuna,0.9064585655890004,0.8995469851946801,0.9923337258284995
16,Optuna,0.8997398736529171,0.8988758689712465,0.9917571205157394
17,Optuna,0.8953214418431809,0.9009576188997834,0.9921902458189988
18,Optuna,0.8998030471943516,0.8936965211555159,0.9924139512917785
19,Optuna,0.901984392419175,0.8987425681944118,0.9919825766116368
20,Optuna,0.8986659234485321,0.8966902249216909,0.991588544952933
21,Optuna,0.9064697138610182,0.9009682978988942,0.9919635167058698
22,Optuna,0.8986696395392048,0.8961211142659721,0.9922423551948892
45,Optuna,0.8953177257525083,0.9044879244716002,0.9912301575736188
46,Optuna,0.9020066889632108,0.9033763205961548,0.9915492423885954
47,Optuna,0.8997621701969528,0.9005112911071164,0.99242593226445
57,Optuna,0.8941806020066889,0.8989318644666477,0.991405324709997
62,Optuna,0.900921590486808,0.897654605683775,0.9915702919233164
73,Optuna,0.8986547751765143,0.8970998598104484,0.9914682381344374
74,Optuna,0.8998067632850241,0.8958720906733069,0.9912630261043384
75,Optuna,0.9020104050538832,0.8983270334226061,0.9922580892540346
90,Optuna,0.8997621701969528,0.8986565671944139,0.9913828526449938
91,Optuna,0.8997844667409884,0.8969302067810078,0.9916048212406018
92,Optuna,0.9008881456707544,0.8994824779299925,0.9917796344920452
