,Algorithm,Accuracy,F1,AUC
0,PSO,0.8596989966555184,0.855730880516718,0.989724546224774
43,PSO,0.7494425863991081,0.8764223680621291,0.9893618505364796
44,PSO,0.8696915644741732,0.8563971226087523,0.9879293244277604
54,PSO,0.8607989594946116,0.8894567284343022,0.9888507991030973
55,PSO,0.792894834633965,0.826582873085863,0.9888312403880736
58,PSO,0.8841917502787068,0.8649023912678029,0.9874301940233662
60,PSO,0.8652768487551096,0.8380035032168074,0.988677371246895
63,PSO,0.8140319583797845,0.8704675890431964,0.9888634343092878
65,PSO,0.8496469713861018,0.809494666202614,0.984896648227806
67,PSO,0.8674730583426236,0.8546007750617929,0.9874372549315794
69,PSO,0.8786733556298773,0.8598156374180803,0.9882657382339444
71,PSO,0.8864288368636194,0.8801298355213678,0.981711474239506
76,PSO,0.8173504273504273,0.8846984828138841,0.9904108782007898
77,PSO,0.8563024897807506,0.8776698185831059,0.9894830771642282
78,PSO,0.8418914901523596,0.8079375166809966,0.988555360204674
79,PSO,0.8753140096618357,0.8864568066322139,0.989658267287982
80,PSO,0.841898922333705,0.8364505406141786,0.9871980153087226
81,PSO,0.8496469713861018,0.8126256373812283,0.988007579761356
82,PSO,0.8452173913043478,0.8599690790196797,0.9869431673407972
83,PSO,0.8842363433667781,0.8371578051839981,0.9878832478593116
84,PSO,0.8619026384243775,0.8705457179480797,0.9884289735906692
85,PSO,0.874132292827945,0.8294716697246654,0.9877258583979964
86,PSO,0.8719509476031214,0.882502919657763,0.9866925153632125
87,PSO,0.8797138610182088,0.8667268468962722,0.9858122574928736
88,PSO,0.8875139353400222,0.854364850291106,0.9881277469198092
93,PSO,0.8719137866963954,0.847267594923418,0.983475904288679
94,PSO,0.8552582683017466,0.8273474889397545,0.9880801983755766
95,PSO,0.8607952434039391,0.8855432147974995,0.9894616344515518
96,PSO,0.8273392790784095,0.8405348034675487,0.9862145087515688
97,PSO,0.8730471943515422,0.8729032633784906,0.9884148101358754
98,PSO,0.8518989223337049,0.8676387314743893,0.9900042917992676
99,PSO,0.8630471943515422,0.8691247549409765,0.988358850285876
100,PSO,0.8552434039390562,0.8766272905330368,0.9903735026549008
