,Algorithm,Accuracy,F1,AUC
0,GA,0.8906074673824559,0.8984072700935791,0.939945255008312
1,GA,0.8894633781434952,0.9000429191897187,0.9345715836987076
2,GA,0.8873035430096881,0.9020707846374152,0.939875855740866
3,GA,0.8862071241556841,0.8982417985536107,0.9380513745613294
4,GA,0.8873328786311999,0.9023303313432128,0.9406572797427728
5,GA,0.8883486245260462,0.8982216719090514,0.9353327489814816
6,GA,0.8883999618636921,0.8981207965137926,0.9389187682660584
7,GA,0.8861851224395503,0.9000611814486561,0.938361373511442
8,GA,0.8861924563449283,0.8978300854888875,0.9375190978461552
9,GA,0.8872742073881764,0.8990950346494334,0.9369360888049044
10,GA,0.8850960374909244,0.8970652015145896,0.9372075926519768
11,GA,0.8862071241556841,0.8991751798650928,0.937245679214886
12,GA,0.88840729576907,0.8986241149319788,0.9388170901125356
13,GA,0.8873035430096881,0.8997236881338128,0.937776400979448
14,GA,0.8883816271002472,0.8988075213358125,0.9367828400106714
15,GA,0.888410962721759,0.8971946028494365,0.9400409741664486
16,GA,0.8851107053016802,0.8969706199967411,0.9377510303983692
17,GA,0.8861887893922393,0.8985090401307524,0.9402801323701668
18,GA,0.8883596253841133,0.9011350675803752,0.9370298094922992
19,GA,0.8861851224395503,0.8935026606921289,0.9380571827104394
20,GA,0.888410962721759,0.8997564108242173,0.9379008386240538
21,GA,0.887321877773133,0.8948538358312286,0.9386882548862164
22,GA,0.888396294911003,0.9001222184218429,0.9375427246592838
23,GA,0.8906331360512788,0.8999414659856123,0.9386071071297648
24,GA,0.8872815412935542,0.8983050661216506,0.9366344612999984
25,GA,0.8872852082462432,0.8987888138096896,0.9405510443075537
26,GA,0.886229125871818,0.8994709401426889,0.9385823162029808
27,GA,0.8895147154811408,0.8990961385873599,0.9376074983195228
28,GA,0.8806700255953297,0.9005750103699303,0.9381291973828644
29,GA,0.8850740357747905,0.8995314556549219,0.9383457278139176
30,GA,0.8861814554868613,0.8904020941593197,0.9387174435902904
31,GA,0.8917148870945267,0.8994780522376349,0.9382187242541192
32,GA,0.8883999618636921,0.9001058529126436,0.9364211775968144
33,GA,0.8861924563449283,0.8986074555419828,0.9372604129162072
34,GA,0.8872888751989322,0.8974877175293097,0.936557884479712
35,GA,0.8883596253841133,0.8980512719901995,0.9383628155238972
36,GA,0.8861961232976171,0.9001551842774317,0.9374275829456842
37,GA,0.88840729576907,0.9009385278044416,0.940366455254986
38,GA,0.8839922847315423,0.9009702584297428,0.9366144649245756
39,GA,0.8883999618636921,0.8996950049298361,0.93866646520781
40,GA,0.8862181250137512,0.9018348605099192,0.9379307162029162
41,GA,0.8861924563449283,0.8996419437340153,0.9356791185378028
42,GA,0.8851217061597471,0.8987459994349707,0.938305601390232
43,GA,0.8895000476703849,0.901597149563218,0.9372617739934525
44,GA,0.88622179196644,0.9026909705025852,0.939489594016493
45,GA,0.8872925421516212,0.9002493990351282,0.9358540904520222
46,GA,0.8895000476703849,0.8991184047953498,0.9363907929980076
47,GA,0.8872962091043101,0.9017768407303292,0.9404579173864208
48,GA,0.8895220493865188,0.8977217180692952,0.9385157422039332
49,GA,0.8861851224395503,0.9024992420877416,0.9393831558092276
50,GA,0.88840729576907,0.8984122113477024,0.932485703179323
