,Algorithm,Accuracy,F1,AUC
0,PSO,0.8298313935153608,0.8862439253296642,0.9175540526263108
3,PSO,0.8519577860406445,0.8659595699547432,0.9289476345045466
6,PSO,0.8563617962201051,0.838705863554544,0.9269890886363386
9,PSO,0.8419800077739397,0.8859035525445442,0.9131596460111152
12,PSO,0.8364759117877861,0.8544209523666665,0.917836797485904
15,PSO,0.8696214971434438,0.8682977869510378,0.9295243031619586
18,PSO,0.847520773286983,0.8678811102923114,0.9226545746742912
19,PSO,0.8464353552910461,0.8696945202763501,0.924737589433961
20,PSO,0.8674103246719911,0.8833813765580101,0.9234860748616858
23,PSO,0.8630283162086644,0.8802366608768102,0.9159595513726854
26,PSO,0.8530212023204476,0.8691736430784109,0.9098416167668364
29,PSO,0.8685324121948179,0.8744037666663486,0.9179984690292412
32,PSO,0.8386944181646169,0.8743359952545596,0.9247961770396912
35,PSO,0.8364539100716523,0.8801359334167819,0.9265564616879252
38,PSO,0.868517744384062,0.859903319448259,0.9169078667393088
39,PSO,0.858554633928113,0.8655239005652838,0.9259700756953696
42,PSO,0.8464133535749122,0.8754391841352867,0.9166529697504392
45,PSO,0.8442095150088375,0.8752263114925961,0.9162303796587734
48,PSO,0.8618842269697037,0.8763163204312786,0.926146632373944
50,PSO,0.8663029049599204,0.8732585353342778,0.9074536121127624
53,PSO,0.8607768072576327,0.877574370709382,0.9196422184413364
56,PSO,0.85638013098355,0.8652931714712594,0.9187179017853252
59,PSO,0.8563287936459044,0.8645259793826847,0.9101076270342472
61,PSO,0.825434717241278,0.8659527840621578,0.9243070266875764
64,PSO,0.866332240581432,0.8785154645899954,0.904199477047975
67,PSO,0.8607878081156998,0.8756754391308337,0.9218725333655048
70,PSO,0.8485988573775421,0.8728472991263688,0.9313988027176252
73,PSO,0.8651698165790265,0.8818305017395071,0.9202496516274516
76,PSO,0.8795589389305699,0.875694579456557,0.919764263049653
78,PSO,0.8243126297184514,0.8623220638960675,0.9261311255839916
79,PSO,0.8552800451768571,0.8951413730246838,0.9149000198253368
80,PSO,0.8320535668448805,0.8742399138753152,0.9232891959073712
81,PSO,0.8563544623147271,0.8819289692665073,0.9230671718263688
82,PSO,0.8409092575887586,0.8803885756777211,0.9203901080991383
83,PSO,0.8651844843897823,0.871464165436126,0.9229683735676772
84,PSO,0.8287129729452231,0.8773702577957897,0.902895923218042
85,PSO,0.8563251266932154,0.8719468080648155,0.927590492625348
